"","project","vcs","n","min","c1st","med","mean","c3rd","max","std"
"1","ant-design","svn","7747","0.0","4.0","10.0","317.3","30.0","441721.0",8154.72733208394
"2","ant-design","git","7747","1","3","9","338","29","400149",8094.57197712831
"3","axios","svn","120","1.00","4.00","16.00","35.08","39.75","293.00",53.1263220300161
"4","axios","git","120","1.00","3.00","6.00","20.56","18.00","296.00",40.4193970893237
"5","bitcoin","svn","13148","1.00","3.00","9.00","41.96","29.00","3797.00",130.466968982144
"6","bitcoin","git","13148","1.00","3.00","9.00","31.99","26.00","3404.00",96.742917383182
"7","bootstrap","svn","4667","1.0","2.0","8.0","110.9","33.0","18567.0",582.899943392959
"8","bootstrap","git","4667","1.0","2.0","6.0","103.5","29.0","9857.0",508.794032416092
"9","caffe","svn","238","1.00","4.00","8.00","25.31","21.75","425.00",49.3851055136858
"10","caffe","git","238","1.00","3.00","6.00","22.61","21.00","425.00",47.022602504126
"11","code-server","svn","6480","0.00","4.00","12.00","65.99","42.00","19225.00",447.459467858557
"12","code-server","git","6480","0.00","4.00","12.00","61.66","42.00","15766.00",335.64028213947
"13","core","svn","987","0.00","2.00","6.00","24.25","21.50","971.00",63.2754584959172
"14","core","git","987","0.00","2.00","5.00","21.72","17.00","1950.00",80.224221913405
"15","django","svn","275","1.00","6.00","13.00","35.08","32.00","610.00",66.1475732478722
"16","django","git","275","1.00","4.00","8.00","18.55","17.50","215.00",30.7870115410444
"17","dubbo","svn","1967","0.00","4.00","11.00","31.44","30.00","1385.00",68.9179885109795
"18","dubbo","git","1967","1.00","4.00","9.00","41.82","29.00","2286.00",144.364232389886
"19","electron","svn","2443","1.00","3.00","7.00","20.88","19.00","1107.00",50.1078558746912
"20","electron","git","2443","1.00","3.00","7.00","19.68","17.00","1196.00",58.9787574783629
"21","emscripten","svn","1712","1.00","5.00","17.00","95.04","62.00","15103.00",480.320646663639
"22","emscripten","git","1712","1.00","4.00","10.00","51.09","36.00","3522.00",178.609431955745
"23","faceswap","svn","39","2","8","23","51","54","499",101.309323101916
"24","faceswap","git","39","2.00","5.00","8.00","22.41","25.50","99.00",26.7500299544524
"25","flask","svn","624","1.00","3.00","8.00","44.97","36.00","1451.00",121.051277096229
"26","flask","git","624","1.00","3.00","8.00","52.31","38.00","1459.00",147.948056712059
"27","googletest","svn","904","1.00","4.00","8.00","36.51","24.25","3234.00",141.276932368415
"28","googletest","git","904","1.00","3.00","6.00","27.14","18.00","3430.00",139.371518987853
"29","hashcat","svn","2003","1.00","2.00","8.00","52.23","21.00","2968.00",204.015979593258
