"","project","wilcox_effort_pvalue","wilcox_effort_inf","t-test_effort_t","t-test_effort_df","t-test_effort_pvalue","wilcox_percentageOfChange_pvalue","wilcox_percentageOfChange_inf","t-test_percentageOfChange_t","t-test_percentageOfChange_df","t-test_percentageOfChange_pvalue","wilcox_accuracy_pvalue","wilcox_accuracy_inf","t-test_accuracy_t","t-test_accuracy_df","t-test_accuracy_pvalue","wilcox_precision_pvalue","wilcox_precision_inf","t-test_precision_t","t-test_precision_df","t-test_precision_pvalue","wilcox_recall_pvalue","wilcox_recall_inf","t-test_recall_t","t-test_recall_df","t-test_recall_pvalue","wilcox_measure_pvalue","wilcox_measure_inf","t-test_measure_t","t-test_measure_df","t-test_measure_pvalue"
"1","ant-design",0.999999999987197,-2.49998494625838,0.299145697997573,7746,0.382418452616081,1,-0.019032757242301,2.6001496950586,7746,0.00466800145198337,1,-0.0159248570050143,-5.82075343150277,7746,0.999999996954062,0.999999999999973,-0.0050384889470518,-0.242629309787402,7746,0.595850501247144,1,-0.0147108244257763,-5.27296560730948,7746,0.999999931068356,1,-0.00958474634324492,-3.07819594509727,7746,0.998955070198049
"2","axios",0.999884519262106,-23.0000305477202,-3.30748870120757,119,0.999377363463852,0.999909081724133,-0.126175355261551,-3.24730531391331,119,0.999243042903438,0.999959158681966,-0.0953162550026455,-4.12637779054687,119,0.999965678192582,0.92297528857963,-0.0295626950152596,-0.64033852939439,119,0.738408198289085,0.999994686158174,-0.0846806454194882,-3.33568998833106,119,0.999432317857197,0.999940159696034,-0.0587513543252363,-2.29858658657247,119,0.988363233638098
"3","bitcoin",0.956482410434601,-0.999976722302852,-9.01831516156205,13147,1,0.470077201012723,-0.000523317335087729,-1.75330671257693,13147,0.960213661502492,0.618077271897254,-0.000616311126716866,-2.89464817329707,13147,0.998098959085363,3.02648737086295e-07,0.000454992514342783,0.692860183485013,13147,0.244204768758645,0.99996446922071,-0.00121035877857623,-3.83792282010114,13147,0.999937669841858,0.406688880180692,-0.000212058380340228,-1.91832559616893,13147,0.972454313688563
"4","bootstrap",0.940385761114666,-1.49999070176498,-1.04081921272169,4666,0.850993305972023,0.985143863941019,-0.0054338837653215,0.792514195932618,4666,0.214050604553185,0.998585309559072,-0.00547889873714704,-2.44755925072847,4666,0.99279032338463,0.916823433552686,-0.00175943315865653,-0.661618362334768,4666,0.745875746658011,0.979550399747417,-0.00314190156498675,-0.605308894252278,4666,0.727498394506047,0.952668407826107,-0.00209078847113138,-0.472004158624697,4666,0.681527053902067
"5","caffe",0.832779521658217,-4.99995354325617,-0.948639178161509,237,0.828114772262343,0.855273893790339,-0.0190542755830386,-0.983353916683307,237,0.83678196252348,0.872473643839458,-0.0170583460053868,-1.15775757455724,237,0.875935797904039,0.3176994093223,-0.00214838270271596,0.134227703346673,237,0.446668217841985,0.98303361194287,-0.019220140802467,-1.76310849560144,237,0.960414550984865,0.870518994561752,-0.00856128739787454,-1.19506182333495,237,0.883371314252931
"6","code-server",1.0333823382978e-32,6.0000304581503,-1.46354322399383,6479,0.928316346716904,4.89146484357255e-32,0.0131850333162497,0.677396706241359,6479,0.249089237147176,3.32142812099083e-31,0.00645939643841934,1.72119006524558,6479,0.0426320393841068,2.94091620592047e-36,0.00669998826658323,0.983430590928577,6479,0.162716141136024,2.14341368438647e-30,0.00652564487170888,0.780551035480782,6479,0.217547557862695,6.26868559193796e-33,0.00653769287565444,1.08851701295131,6479,0.138203708975137
"7","core",0.999819229612721,-4.00000648137784,-1.11527412908498,986,0.867497642763433,0.997557560355131,-0.017306908396521,-0.997435704766521,986,0.840601108966986,0.998905110804353,-0.0156073885470444,-2.3279029270887,986,0.989940595401693,0.681957855593672,-0.00369731829523513,-0.245328053087164,986,0.596873258379411,0.999999999727985,-0.0187796136334124,-4.02826847906505,986,0.999969746559855,0.998310631366608,-0.00822098108389157,-1.98323896971736,986,0.976191087093323
"8","django",0.999999950427019,-12.4999406569996,-4.23745807229823,274,0.999984542009762,0.999999853980813,-0.0180843787553365,-3.46700110784879,274,0.999694561559534,0.999999859400042,-0.0166494903525695,-3.84782229338857,274,0.999925839181165,1,-0.0101286859768244,-5.4155347075385,274,0.999999933145351,0.999750911184006,-0.0101798425687868,-1.82659694310754,274,0.96557582705154,0.999999804261517,-0.00892067695071824,-3.00373536153437,274,0.998543296815293
"9","dubbo",0.996095409443146,-3.49998549292987,3.31632318905509,1966,0.000464353931796396,0.997321072060251,-0.0150132121584435,4.90159448070769,1966,5.14272688093453e-07,0.999223741251144,-0.0133154807891814,1.95608404246793,1966,0.0252983380045716,0.93260123259885,-0.00436245947722093,5.77384618991415,1966,4.49231192684036e-09,0.999885839339877,-0.0114682537400199,3.99764165462521,1966,3.31697338320686e-05,0.998293024976575,-0.00749729434282694,4.70055870562385,1966,1.38730557129213e-06
"10","electron",0.945704371376142,-1.50003414316701,-1.04543506410432,2442,0.852037296137542,0.996076784245034,-0.00869610405463777,-1.94584503222094,2442,0.97410602994171,0.996826177566106,-0.00775440377893054,-3.07211927962204,2442,0.998925552855477,0.000780305060000536,0.00127424562470803,0.967836300138076,2442,0.166610986496419,0.999999999999862,-0.0124324426597749,-5.06168014307393,2442,0.999999776726451,0.994651439314545,-0.00398595879268513,-2.45575271253826,2442,0.992935902974508
"11","emscripten",1,-17.5000395826039,-3.74963475526484,1711,0.999908508129187,1,-0.00971170563633148,-2.47238498147076,1711,0.99324095210536,1,-0.0093693029517014,-7.39302257283151,1711,0.999999999999888,0.999999776859451,-0.00152896513032853,-4.01660038014706,1711,0.999969199856831,1,-0.00875390118332156,-7.86851860333615,1711,0.999999999999997,1,-0.00483024109654602,-6.41853943181452,1711,0.999999999911148
"12","faceswap",0.97600512515252,-168.000069810576,-1.69379613383152,38,0.950756522307708,0.957858060160859,-0.301517917001122,-0.367698625415442,38,0.64243093424377,0.957858060160859,-0.200465412590118,-1.02649270897375,38,0.844425225176921,0.96320303809428,-0.192915923139792,-0.427771308546523,38,0.664383881540218,0.87725323527624,-0.196085608073594,-0.426197057391544,38,0.663815561189965,0.945289420590385,-0.161159328669301,-0.430696647452961,38,0.66543891939604
"13","flask",0.387335184271895,-1.50000087676914,1.98537156328126,623,0.0237705797351859,0.563896954904882,-0.00711485569412032,1.04399151344981,623,0.148447116731865,0.588125116612262,-0.00642066365128308,0.744564611727139,623,0.228407862464346,0.139673097605336,-0.000720113588895921,0.97930276069755,623,0.163905266365465,0.743015177129119,-0.00603017327652105,-0.15327627171059,623,0.560884978010141,0.53227733650913,-0.00317591389609689,0.520630743861128,623,0.301404502528906
