file;totalLines_svn;addedLines_svn;removedLines_svn;percentageOfChange_svn;accuracy_svn;measure_svn;recall_svn;precision_svn;effort_svn;totalLines_git;addedLines_git;removedLines_git;percentageOfChange_git;accuracy_git;measure_git;recall_git;precision_git;effort_git
gradle/wrapper/gradle-wrapper.properties;6;1;1;0.3333333333333333;0.75;0.8333333333333334;0.8333333333333334;0.8333333333333334;2;6;1;1;0.3333333333333333;0.75;0.8333333333333334;0.8333333333333334;0.8333333333333334;2
rxjava-core/src/main/java/rx/observables/Observable.java;2406;39;0;0.016209476309226933;0.9840490797546012;0.9918290383406663;0.983790523690773;1.0;39;2406;39;0;0.016209476309226933;0.9840490797546012;0.9918290383406663;0.983790523690773;1.0;39
rxjava-core/src/main/java/rx/observables/Observable.java;2425;82;0;0.033814432989690724;0.9672915835660152;0.9828020134228189;0.9661855670103093;1.0;82;2425;82;0;0.033814432989690724;0.9672915835660152;0.9828020134228189;0.9661855670103093;1.0;82
rxjava-core/src/main/java/rx/Observable.java;2421;15;0;0.006195786864931847;0.9938423645320197;0.9968924798011187;0.9938042131350682;1.0;15;2421;57;31;0.03634861627426683;0.9649262654444002;0.9817275747508305;0.976456009913259;0.9870563674321503;88
rxjava-core/src/main/java/rx/Observable.java;2452;31;0;0.01264274061990212;0.9875151026983487;0.993638415760312;0.9873572593800979;1.0;31;2452;31;0;0.01264274061990212;0.9875151026983487;0.993638415760312;0.9873572593800979;1.0;31
language-adaptors/rxjava-clojure/src/test/clojure/rx/lang/clojure/observable_tests.clj;7;3;1;0.5714285714285714;0.6363636363636364;0.6666666666666666;0.5714285714285714;0.8;4;7;3;1;0.5714285714285714;0.6363636363636364;0.6666666666666666;0.5714285714285714;0.8;4
language-adaptors/rxjava-groovy/src/test/groovy/rx/lang/groovy/ObservableTests.groovy;316;10;0;0.03164556962025317;0.9693251533742331;0.9839228295819936;0.9683544303797469;1.0;10;316;10;0;0.03164556962025317;0.9693251533742331;0.9839228295819936;0.9683544303797469;1.0;10
rxjava-core/src/main/java/rx/Observable.java;3139;165;13;0.05670595731124562;0.9463370515526078;0.9709435194253999;0.9474354890092386;0.995647807164379;178;3139;251;0;0.07996177126473399;0.9259587020648967;0.9583540733366517;0.920038228735266;1.0;251
rxjava-core/src/main/java/rx/Observable.java;3255;539;8;0.16804915514592933;0.8561283534981589;0.9085131292858337;0.8344086021505376;0.9970631424375918;547;3255;97;2;0.030414746543778803;0.9704830053667263;0.9845674201091192;0.9701996927803379;0.9993670886075949;99
rxjava-core/src/main/java/rx/Observable.java;3165;13;103;0.03665086887835703;0.964644925327644;0.9819314641744549;0.9958925750394945;0.9683563748079878;116;3165;27;58;0.026856240126382307;0.9738461538461538;0.9866373211759156;0.9914691943127962;0.9818523153942428;85
rxjava-core/src/main/java/rx/Observable.java;3190;25;0;0.007836990595611285;0.9922239502332815;0.996066089693155;0.9921630094043887;1.0;25;3190;25;0;0.007836990595611285;0.9922239502332815;0.996066089693155;0.9921630094043887;1.0;25
rxjava-core/src/main/java/rx/Observable.java;3209;53;23;0.023683390464319103;0.9768645357686454;0.9881026925485284;0.9834839513867248;0.9927650204466814;76;3209;27;8;0.01090682455593643;0.9892108508014796;0.9945303953742772;0.9915861639139919;0.9974921630094044;35
rxjava-core/src/main/java/rx/Observable.java;3184;73;60;0.0417713567839196;0.9599035272836901;0.9790715971675846;0.977072864321608;0.9810785241248817;133;3184;40;9;0.015389447236180905;0.9848437983297247;0.9922676345273789;0.9874371859296482;0.9971455756422455;49
rxjava-core/src/main/java/rx/Observable.java;3207;113;69;0.05675085749922046;0.946296842726468;0.9714285714285714;0.9647645774867477;0.9781852671514385;182;3207;23;0;0.007171811661989398;0.9928792569659443;0.9964011891722735;0.9928281883380106;1.0;23
rxjava-core/src/main/java/rx/Observable.java;3263;56;0;0.017162120747778117;0.983127448026514;0.9913446676970634;0.9828378792522219;1.0;56;3263;56;0;0.017162120747778117;0.983127448026514;0.9913446676970634;0.9828378792522219;1.0;56
language-adaptors/rxjava-groovy/src/test/groovy/rx/lang/groovy/ObservableTests.groovy;336;17;1;0.05357142857142857;0.9491525423728814;0.9725609756097561;0.9494047619047619;0.996875;18;336;14;3;0.050595238095238096;0.9518413597733711;0.9742813918305598;0.9583333333333334;0.9907692307692307;17
rxjava-core/src/main/java/rx/Observable.java;3419;421;224;0.18865165252997954;0.8412893700787402;0.9028760728805904;0.8768645802866335;0.930477963997517;645;3419;95;18;0.03305059959052355;0.9680067950169875;0.9832864960804615;0.9722140976893828;0.9946140035906643;113
rxjava-core/src/main/java/rx/Observable.java;3562;48;0;0.01347557551937114;0.9867036011080332;0.9932165065008479;0.9865244244806288;1.0;48;3562;0;24;0.00673778775968557;0.9933073061907418;0.9966424174594293;1.0;0.9933073061907418;24
rxjava-core/src/main/java/rx/Observable.java;3586;24;0;0.006692693809258227;0.9933518005540166;0.9966424174594293;0.9933073061907418;1.0;24;3586;24;0;0.006692693809258227;0.9933518005540166;0.9966424174594293;0.9933073061907418;1.0;24
rxjava-core/src/main/java/rx/Observable.java;3565;8;5;0.0036465638148667602;0.9963666852990497;0.9981759506103549;0.9977559607293127;0.9985962942167321;13;3565;8;5;0.0036465638148667602;0.9963666852990497;0.9981759506103549;0.9977559607293127;0.9985962942167321;13
rxjava-core/src/main/java/rx/operators/OperationTake.java;288;3;1;0.013888888888888888;0.9863013698630136;0.9930313588850175;0.9895833333333334;0.9965034965034965;4;288;3;1;0.013888888888888888;0.9863013698630136;0.9930313588850175;0.9895833333333334;0.9965034965034965;4
rxjava-core/src/main/java/rx/operators/OperationTake.java;287;2;1;0.010452961672473868;0.9896551724137931;0.9947643979057592;0.9930313588850174;0.9965034965034965;3;287;2;3;0.017421602787456445;0.9828767123287672;0.991304347826087;0.9930313588850174;0.9895833333333334;5
rxjava-core/src/main/java/rx/operators/OperationTakeWhile.java;354;10;6;0.04519774011299435;0.9567567567567568;0.9772727272727272;0.9717514124293786;0.9828571428571429;16;354;3;4;0.01977401129943503;0.9806094182825484;0.9901269393511989;0.9915254237288136;0.9887323943661972;7
rxjava-core/src/main/java/rx/Observable.java;3857;359;88;0.11589318122893441;0.8961431226765799;0.9399435711406692;0.9069224786103189;0.9754601226993865;447;3857;24;0;0.00622245268343272;0.9938160267972173;0.9968790637191157;0.9937775473165673;1.0;24
rxjava-core/src/main/java/rx/Observable.java;3927;57;1;0.014769544181308887;0.9854454203262233;0.9925621954347269;0.985485103132162;0.9997416688194265;58;3927;57;1;0.014769544181308887;0.9854454203262233;0.9925621954347269;0.985485103132162;0.9997416688194265;58
rxjava-core/src/main/java/rx/operators/OperationSubscribeOn.java;102;1;1;0.0196078431372549;0.9807692307692307;0.9901960784313726;0.9901960784313726;0.9901960784313726;2;102;1;1;0.0196078431372549;0.9807692307692307;0.9901960784313726;0.9901960784313726;0.9901960784313726;2
rxjava-core/src/main/java/rx/concurrency/SleepingAction.java;48;6;7;0.2708333333333333;0.7868852459016393;0.8659793814432989;0.875;0.8571428571428571;13;48;9;14;0.4791666666666667;0.676056338028169;0.7722772277227722;0.8125;0.7358490566037735;23
rxjava-core/src/main/java/rx/operators/Tester.java;329;1;1;0.0060790273556231;0.9939577039274925;0.9969604863221885;0.9969604863221885;0.9969604863221885;2;329;0;20;0.060790273556231005;0.9426934097421203;0.9705014749262536;1.0;0.9426934097421203;20
rxjava-core/src/main/java/rx/concurrency/SleepingAction.java;52;7;3;0.19230769230769232;0.8387096774193549;0.9;0.8653846153846154;0.9375;10;52;7;3;0.19230769230769232;0.8387096774193549;0.9;0.8653846153846154;0.9375;10
rxjava-core/src/main/java/rx/operators/OperationObserveOn.java;110;20;4;0.21818181818181817;0.8208955223880597;0.8823529411764706;0.8181818181818182;0.9574468085106383;24;110;1;1;0.01818181818181818;0.9821428571428571;0.990909090909091;0.990909090909091;0.990909090909091;2
rxjava-core/src/main/java/rx/concurrency/SleepingAction.java;53;11;10;0.39622641509433965;0.7162162162162162;0.7999999999999999;0.7924528301886793;0.8076923076923077;21;53;3;3;0.11320754716981132;0.8983050847457628;0.9433962264150944;0.9433962264150944;0.9433962264150944;6
rxjava-core/src/main/java/rx/Observable.java;4013;28;1;0.00722651383005233;0.9928253339930727;0.9963745468183522;0.9930226763020185;0.9997491219267436;29;4013;28;1;0.00722651383005233;0.9928253339930727;0.9963745468183522;0.9930226763020185;0.9997491219267436;29
rxjava-core/src/main/java/rx/subjects/DefaultSubject.java;324;186;3;0.5833333333333334;0.631578947368421;0.5935483870967742;0.42592592592592593;0.9787234042553191;189;324;186;3;0.5833333333333334;0.631578947368421;0.5935483870967742;0.42592592592592593;0.9787234042553191;189
rxjava-core/src/main/java/rx/Scheduler.java;255;131;30;0.6313725490196078;0.6129807692307693;0.6063569682151589;0.48627450980392156;0.8051948051948052;161;255;45;0;0.17647058823529413;0.85;0.9032258064516129;0.8235294117647058;1.0;45
rxjava-core/src/main/java/rx/operators/OperatorTester.java;368;20;0;0.05434782608695652;0.9484536082474226;0.9720670391061452;0.9456521739130435;1.0;20;368;20;0;0.05434782608695652;0.9484536082474226;0.9720670391061452;0.9456521739130435;1.0;20
