file;totalLines_svn;addedLines_svn;removedLines_svn;percentageOfChange_svn;accuracy_svn;measure_svn;recall_svn;precision_svn;effort_svn;totalLines_git;addedLines_git;removedLines_git;percentageOfChange_git;accuracy_git;measure_git;recall_git;precision_git;effort_git
test/specs/helpers/buildUrl.spec.js;55;1;1;0.03636363636363636;0.9649122807017544;0.9818181818181818;0.9818181818181818;0.9818181818181818;2;55;8;0;0.14545454545454545;0.873015873015873;0.9215686274509803;0.8545454545454545;1.0;8
lib/adapters/http.js;99;5;0;0.050505050505050504;0.9519230769230769;0.9740932642487047;0.9494949494949495;1.0;5;99;2;1;0.030303030303030304;0.9705882352941176;0.9847715736040609;0.9797979797979798;0.9897959183673469;3
test/specs/promise.spec.js;77;1;31;0.4155844155844156;0.7064220183486238;0.8260869565217391;0.987012987012987;0.7102803738317757;32;77;1;31;0.4155844155844156;0.7064220183486238;0.8260869565217391;0.987012987012987;0.7102803738317757;32
axios.d.ts;49;1;1;0.04081632653061224;0.9607843137254902;0.9795918367346939;0.9795918367346939;0.9795918367346939;2;49;2;2;0.08163265306122448;0.9245283018867925;0.9591836734693877;0.9591836734693877;0.9591836734693877;4
axios.d.ts;63;21;8;0.4603174603174603;0.6847826086956522;0.743362831858407;0.6666666666666666;0.84;29;63;21;8;0.4603174603174603;0.6847826086956522;0.743362831858407;0.6666666666666666;0.84;29
package.json;65;1;0;0.015384615384615385;0.9848484848484849;0.9922480620155039;0.9846153846153847;1.0;1;65;1;0;0.015384615384615385;0.9848484848484849;0.9922480620155039;0.9846153846153847;1.0;1
axios.d.ts;64;22;8;0.46875;0.6808510638297872;0.736842105263158;0.65625;0.84;30;64;1;0;0.015625;0.9846153846153847;0.9921259842519685;0.984375;1.0;1
karma.conf.js;99;14;4;0.18181818181818182;0.8461538461538461;0.9042553191489363;0.8585858585858586;0.9550561797752809;18;99;14;4;0.18181818181818182;0.8461538461538461;0.9042553191489363;0.8585858585858586;0.9550561797752809;18
lib/axios.js;105;22;31;0.5047619047619047;0.6645569620253164;0.7579908675799086;0.7904761904761904;0.7280701754385965;53;105;5;1;0.05714285714285714;0.9459459459459459;0.970873786407767;0.9523809523809523;0.9900990099009901;6
lib/adapters/http.js;103;2;2;0.038834951456310676;0.9626168224299065;0.9805825242718447;0.9805825242718447;0.9805825242718447;4;103;2;2;0.038834951456310676;0.9626168224299065;0.9805825242718447;0.9805825242718447;0.9805825242718447;4
lib/adapters/http.js;103;2;2;0.038834951456310676;0.9626168224299065;0.9805825242718447;0.9805825242718447;0.9805825242718447;4;103;3;3;0.05825242718446602;0.944954128440367;0.970873786407767;0.970873786407767;0.970873786407767;6
lib/adapters/http.js;103;1;1;0.019417475728155338;0.9809523809523809;0.9902912621359223;0.9902912621359223;0.9902912621359223;2;103;2;2;0.038834951456310676;0.9626168224299065;0.9805825242718447;0.9805825242718447;0.9805825242718447;4
