file;totalLines_svn;addedLines_svn;removedLines_svn;percentageOfChange_svn;accuracy_svn;measure_svn;recall_svn;precision_svn;effort_svn;totalLines_git;addedLines_git;removedLines_git;percentageOfChange_git;accuracy_git;measure_git;recall_git;precision_git;effort_git
setup.nsi;156;3;3;0.038461538461538464;0.9629629629629629;0.9807692307692307;0.9807692307692307;0.9807692307692307;6;156;156;156;2.0;0.3333333333333333;0.0;0.0;0.0;312
rpc.cpp;2042;30;10;0.019588638589618023;0.9807877041306436;0.9901574803149606;0.9853085210577864;0.9950544015825915;40;2042;14;6;0.009794319294809012;0.9903006789524733;0.9950932286555446;0.9931439764936337;0.9970501474926253;20
rpc.cpp;2042;30;10;0.019588638589618023;0.9807877041306436;0.9901574803149606;0.9853085210577864;0.9950544015825915;40;2042;3;3;0.002938295788442703;0.9970703125;0.9985308521057786;0.9985308521057786;0.9985308521057786;6
init.cpp;451;7;0;0.015521064301552107;0.9847161572052402;0.9921787709497207;0.9844789356984479;1.0;7;451;4;4;0.017738359201773836;0.9825708061002179;0.991130820399113;0.991130820399113;0.991130820399113;8
init.cpp;451;11;4;0.03325942350332594;0.9678111587982833;0.9832402234636871;0.975609756097561;0.990990990990991;15;451;11;4;0.03325942350332594;0.9678111587982833;0.9832402234636871;0.975609756097561;0.990990990990991;15
main.cpp;4039;84;9;0.0230255013617232;0.9774927395934172;0.9883793577408473;0.9792027729636048;0.9977295660948536;93;4039;84;9;0.0230255013617232;0.9774927395934172;0.9883793577408473;0.9792027729636048;0.9977295660948536;93
init.cpp;452;14;7;0.046460176991150445;0.9556025369978859;0.9765886287625418;0.9690265486725663;0.9842696629213483;21;452;1;0;0.0022123893805309734;0.9977924944812362;0.9988925802879292;0.9977876106194691;1.0;1
init.cpp;454;17;8;0.05506607929515418;0.9478079331941545;0.9721913236929923;0.9625550660792952;0.9820224719101124;25;454;1;0;0.0022026431718061676;0.9978021978021978;0.9988974641675854;0.9977973568281938;1.0;1
init.cpp;455;1;1;0.004395604395604396;0.9956236323851203;0.9978021978021978;0.9978021978021978;0.9978021978021978;2;455;3;2;0.01098901098901099;0.9891304347826086;0.9944994499449945;0.9934065934065934;0.9955947136563876;5
rpc.cpp;2076;3;3;0.002890173410404624;0.9971181556195965;0.9985549132947977;0.9985549132947977;0.9985549132947977;6;2076;2;0;9.633911368015414E-4;0.9990375360923965;0.9995180722891567;0.9990366088631984;1.0;2
util.cpp;847;6;1;0.008264462809917356;0.9918032786885246;0.9958555358200119;0.9929161747343566;0.998812351543943;7;847;0;1;0.0011806375442739079;0.9988207547169812;0.9994100294985251;1.0;0.9988207547169812;1
main.cpp;4078;60;32;0.022560078469838155;0.9779376498800959;0.9886811023622047;0.9852869053457577;0.9920987654320987;92;4078;17;7;0.005885237861696911;0.9941491955143832;0.9970537687208446;0.9958312898479647;0.9982792527040315;24
util.cpp;848;1;0;0.0011792452830188679;0.9988221436984688;0.9994100294985251;0.9988207547169812;1.0;1;848;3;3;0.007075471698113208;0.9929742388758782;0.9964622641509434;0.9964622641509434;0.9964622641509434;6
main.cpp;4088;49;23;0.01761252446183953;0.9826923076923076;0.9911656441717791;0.988013698630137;0.9943377646479566;72;4088;20;10;0.007338551859099804;0.9927149101505586;0.9963262307127113;0.9951076320939335;0.9975478175576263;30
util.cpp;849;1;0;0.001177856301531213;0.9988235294117647;0.9994107248084856;0.9988221436984688;1.0;1;849;3;2;0.005889281507656066;0.9941451990632318;0.9970536240424278;0.9964664310954063;0.9976415094339622;5
init.cpp;471;3;0;0.006369426751592357;0.9936708860759493;0.9968051118210862;0.9936305732484076;1.0;3;471;3;0;0.006369426751592357;0.9936708860759493;0.9968051118210862;0.9936305732484076;1.0;3
net.h;1054;1;0;9.487666034155598E-4;0.9990521327014218;0.9995253915519696;0.9990512333965844;1.0;1;1054;16;8;0.022770398481973434;0.9777365491651205;0.9885714285714285;0.9848197343453511;0.9923518164435946;24
main.cpp;4092;97;49;0.03567937438905181;0.9655497876356772;0.982055063913471;0.9762952101661779;0.9878832838773491;146;4092;4;0;9.775171065493646E-4;0.9990234375;0.9995110024449878;0.9990224828934506;1.0;4
main.cpp;4106;18;18;0.00876765708718948;0.9913085465958474;0.9956161714564052;0.9956161714564052;0.9956161714564052;36;4106;19;19;0.009254749147588894;0.9908301158301158;0.9953726254262055;0.9953726254262055;0.9953726254262055;38
db.cpp;1023;1;1;0.0019550342130987292;0.9980487804878049;0.9990224828934506;0.9990224828934506;0.9990224828934506;2;1023;3;1;0.0039100684261974585;0.9961051606621227;0.9980430528375734;0.9970674486803519;0.9990205680705191;4
net.cpp;1600;1;0;6.25E-4;0.9993753903810119;0.9996874023132228;0.999375;1.0;1;1600;123;1;0.0775;0.9280742459396751;0.9597141000649771;0.923125;0.9993234100135318;124
init.cpp;507;16;8;0.047337278106508875;0.9548022598870056;0.9761431411530815;0.9684418145956607;0.9839679358717435;24;507;18;0;0.03550295857988166;0.9657142857142857;0.9819277108433735;0.9644970414201184;1.0;18
ui.cpp;2933;20;13;0.01125127855438118;0.9888739042481457;0.9943676395289299;0.993181043300375;0.995557074504443;33;2933;11;0;0.0037504261847937266;0.9962635869565217;0.9981212638770283;0.9962495738152063;1.0;11
main.cpp;4114;111;97;0.05055906660184735;0.951874132346136;0.9746773800827855;0.9730189596499756;0.9763414634146341;208;4114;8;0;0.0019445794846864365;0.9980591945657448;0.9990267639902677;0.9980554205153136;1.0;8
main.h;2050;115;9;0.06048780487804878;0.9429622815087396;0.9689534301452178;0.9439024390243902;0.9953703703703703;124;2050;6;0;0.002926829268292683;0.9970817120622568;0.9985344406448461;0.9970731707317073;1.0;6
main.cpp;4116;26;18;0.010689990281827016;0.989423076923077;0.9946498054474708;0.9936831875607386;0.9956183057448881;44;4116;27;19;0.011175898931000973;0.9889476213358962;0.9944066147859922;0.9934402332361516;0.9953748782862707;46
rpc.cpp;2181;1;1;9.170105456212746E-4;0.9990838295923041;0.9995414947271893;0.9995414947271893;0.9995414947271893;2;2181;20;12;0.014672168729940394;0.9855399909624943;0.9926504363803399;0.9908298945437872;0.9944776806258628;32
main.cpp;4118;102;78;0.043710539096648855;0.9581200558399255;0.9780808572820262;0.975230694511899;0.9809477283829995;180;4118;10;8;0.004371053909664886;0.9956479690522244;0.9978139421909158;0.9975716367168529;0.9980563654033042;18
main.h;2050;121;9;0.06341463414634146;0.9403669724770642;0.9674022066198595;0.9409756097560975;0.9953560371517027;130;2050;1;1;9.75609756097561E-4;0.9990253411306043;0.9995121951219512;0.9995121951219512;0.9995121951219512;2
rpc.cpp;2185;5;4;0.004118993135011442;0.995897903372835;0.997940032043946;0.9977116704805492;0.9981684981684982;9;2185;5;4;0.004118993135011442;0.995897903372835;0.997940032043946;0.9977116704805492;0.9981684981684982;9
