file;totalLines_svn;addedLines_svn;removedLines_svn;percentageOfChange_svn;accuracy_svn;measure_svn;recall_svn;precision_svn;effort_svn;totalLines_git;addedLines_git;removedLines_git;percentageOfChange_git;accuracy_git;measure_git;recall_git;precision_git;effort_git
Dockerfile;24;5;10;0.625;0.6153846153846154;0.7169811320754716;0.7916666666666666;0.6551724137931034;15;24;11;0;0.4583333333333333;0.6857142857142857;0.7027027027027027;0.5416666666666666;1.0;11
.gitignore;97;1;1;0.020618556701030927;0.9797979797979798;0.9896907216494846;0.9896907216494846;0.9896907216494846;2;97;1;1;0.020618556701030927;0.9797979797979798;0.9896907216494846;0.9896907216494846;0.9896907216494846;2
README.md;108;5;0;0.046296296296296294;0.9557522123893806;0.976303317535545;0.9537037037037037;1.0;5;108;5;0;0.046296296296296294;0.9557522123893806;0.976303317535545;0.9537037037037037;1.0;5
lib/utils.py;50;38;14;1.04;0.49019607843137253;0.3157894736842105;0.24;0.46153846153846156;52;50;4;1;0.1;0.9090909090909091;0.9484536082474226;0.92;0.9787234042553191;5
lib/cli.py;137;34;9;0.31386861313868614;0.7611111111111111;0.8273092369477911;0.7518248175182481;0.9196428571428571;43;137;3;2;0.0364963503649635;0.9647887323943662;0.9816849816849818;0.9781021897810219;0.9852941176470589;5
lib/utils.py;51;5;2;0.13725490196078433;0.8793103448275862;0.9292929292929293;0.9019607843137255;0.9583333333333334;7;51;51;48;1.9411764705882353;0.34;0.0;0.0;0.0;99
scripts/train.py;251;19;4;0.09163346613545817;0.916058394160584;0.9527720739219713;0.9243027888446215;0.9830508474576272;23;251;4;3;0.027888446215139442;0.9728682170542635;0.9860279441117764;0.9840637450199203;0.988;7
plugins/extract/detect/_base.py;315;13;13;0.08253968253968254;0.9237536656891495;0.9587301587301588;0.9587301587301588;0.9587301587301588;26;315;13;13;0.08253968253968254;0.9237536656891495;0.9587301587301588;0.9587301587301588;0.9587301587301588;26
plugins/extract/detect/dlib_cnn.py;204;1;1;0.00980392156862745;0.9902912621359223;0.9950980392156863;0.9950980392156863;0.9950980392156863;2;204;1;1;0.00980392156862745;0.9902912621359223;0.9950980392156863;0.9950980392156863;0.9950980392156863;2
plugins/extract/detect/_base.py;324;8;0;0.024691358024691357;0.9759036144578314;0.9875;0.9753086419753086;1.0;8;324;8;0;0.024691358024691357;0.9759036144578314;0.9875;0.9753086419753086;1.0;8
