file;totalLines_svn;addedLines_svn;removedLines_svn;percentageOfChange_svn;accuracy_svn;measure_svn;recall_svn;precision_svn;effort_svn;totalLines_git;addedLines_git;removedLines_git;percentageOfChange_git;accuracy_git;measure_git;recall_git;precision_git;effort_git
tools/test.pl;8588;12;3;0.0017466231951560316;0.9982564221783099;0.9991262305586299;0.9986027014438752;0.9996503088938105;15;8588;1;1;2.328830926874709E-4;0.99976717112922;0.9998835584536563;0.9998835584536563;0.9998835584536563;2
src/oclHashcat.c;16525;2;2;2.4205748865355523E-4;0.9997580010889952;0.9998789712556733;0.9998789712556733;0.9998789712556733;4;16525;26;6;0.0019364599092284419;0.9980672827202995;0.9990311837723281;0.9984266263237519;0.9996364737958194;32
src/oclHashcat.c;16795;6;6;7.14498362607919E-4;0.9992860117808057;0.999642750818696;0.999642750818696;0.999642750818696;12;16795;4;11;8.931229532598987E-4;0.9991076740035693;0.9995535315653182;0.9997618338791306;0.9993453160338055;15
src/oclHashcat.c;16788;70;32;0.006075768406004289;0.9939609236234458;0.9969586737432167;0.9958303550154872;0.998089552238806;102;16788;4;2;3.5739814152966406E-4;0.9996427295462665;0.9998212902841485;0.9997617345723135;0.9998808530918623;6
src/oclHashcat.c;16765;6;11;0.0010140172979421413;0.9989870098915504;0.9994930669449829;0.9996421115419027;0.9993440667859272;17;16765;61;79;0.008350730688935281;0.9917184265010351;0.9958268749254799;0.9963614673426782;0.995292855866055;140
src/shared.c;20593;102;224;0.01583062205603846;0.9844160810746212;0.9921080662341435;0.9950468605836935;0.9891865797731113;326;20593;102;224;0.01583062205603846;0.9844160810746212;0.9921080662341435;0.9950468605836935;0.9891865797731113;326
src/shared.c;20593;114;232;0.016801825863157385;0.9834758106881895;0.9916230873523146;0.9944641382994222;0.9887982231664333;346;20593;2;2;1.942407614237848E-4;0.9998057969607225;0.9999028796192881;0.9999028796192881;0.9999028796192881;4
OpenCL/m07800_a3.cl;861;2;2;0.004645760743321719;0.9953757225433526;0.9976771196283392;0.9976771196283392;0.9976771196283392;4;861;6;6;0.013937282229965157;0.9862542955326461;0.9930313588850174;0.9930313588850174;0.9930313588850174;12
src/oclHashcat.c;16802;85;48;0.007915724318533508;0.9921464422793033;0.996037775195877;0.9949410784430425;0.9971368923352222;133;16802;17;10;0.0016069515533865017;0.9983956265969457;0.999196356817573;0.9989882156886085;0.9994045846978268;27
src/Makefile;354;1;1;0.005649717514124294;0.9943820224719101;0.9971751412429379;0.9971751412429378;0.9971751412429378;2;354;7;6;0.03672316384180791;0.9645776566757494;0.9816124469589816;0.980225988700565;0.9830028328611898;13
