file;totalLines_svn;addedLines_svn;removedLines_svn;percentageOfChange_svn;accuracy_svn;measure_svn;recall_svn;precision_svn;effort_svn;totalLines_git;addedLines_git;removedLines_git;percentageOfChange_git;accuracy_git;measure_git;recall_git;precision_git;effort_git
c/builtin.c;171;20;1;0.12280701754385964;0.890625;0.934984520123839;0.8830409356725146;0.993421052631579;21;171;20;1;0.12280701754385964;0.890625;0.934984520123839;0.8830409356725146;0.993421052631579;21
parser.y;480;7;1;0.016666666666666666;0.9836065573770492;0.9916142557651992;0.9854166666666667;0.9978902953586498;8;480;7;1;0.016666666666666666;0.9836065573770492;0.9916142557651992;0.9854166666666667;0.9978902953586498;8
lexer.l;156;4;0;0.02564102564102564;0.975;0.9870129870129869;0.9743589743589743;1.0;4;156;1;0;0.00641025641025641;0.9936305732484076;0.9967845659163987;0.9935897435897436;1.0;1
builtin.c;327;17;41;0.17737003058103976;0.8493506493506493;0.9144542772861357;0.9480122324159022;0.8831908831908832;58;327;16;0;0.04892966360856269;0.9533527696793003;0.9749216300940439;0.9510703363914373;1.0;16
jv.h;146;0;61;0.4178082191780822;0.7053140096618358;0.8271954674220964;1.0;0.7053140096618358;61;146;1;0;0.00684931506849315;0.9931972789115646;0.9965635738831615;0.9931506849315068;1.0;1
parser.y;457;15;38;0.11597374179431072;0.8960784313725491;0.9434364994663821;0.9671772428884027;0.9208333333333333;53;457;7;1;0.0175054704595186;0.9827956989247312;0.9911894273127754;0.9846827133479212;0.9977827050997783;8
testdata;427;6;1;0.01639344262295082;0.9838709677419355;0.9917550058892817;0.9859484777517564;0.9976303317535545;7;427;25;0;0.0585480093676815;0.9446902654867256;0.9698431845597104;0.9414519906323185;1.0;25
lexer.l;171;1;1;0.011695906432748537;0.9884393063583815;0.9941520467836257;0.9941520467836257;0.9941520467836257;2;171;1;1;0.011695906432748537;0.9884393063583815;0.9941520467836257;0.9941520467836257;0.9941520467836257;2
docs/content/3.manual/manual.yml;1155;344;63;0.3523809523809524;0.7394366197183099;0.7994085756530311;0.7021645021645022;0.9279176201372997;407;1155;4;5;0.007792207792207792;0.9922680412371134;0.9961055819991347;0.9965367965367965;0.995674740484429;9
parser.y;501;1;1;0.003992015968063872;0.9960238568588469;0.998003992015968;0.998003992015968;0.998003992015968;2;501;1;1;0.003992015968063872;0.9960238568588469;0.998003992015968;0.998003992015968;0.998003992015968;2
builtin.c;568;1;1;0.0035211267605633804;0.9964912280701754;0.9982394366197183;0.9982394366197183;0.9982394366197183;2;568;1;1;0.0035211267605633804;0.9964912280701754;0.9982394366197183;0.9982394366197183;0.9982394366197183;2
Makefile;146;2;2;0.0273972602739726;0.9733333333333334;0.9863013698630136;0.9863013698630136;0.9863013698630136;4;146;39;2;0.2808219178082192;0.7807486631016043;0.8392156862745097;0.7328767123287672;0.981651376146789;41
docs/content/3.manual/manual.yml;1175;28;9;0.03148936170212766;0.9694719471947195;0.9841269841269841;0.9761702127659575;0.9922145328719724;37;1175;5;4;0.007659574468085106;0.9923986486486487;0.9961685823754789;0.9957446808510638;0.9965928449744463;9
docs/content/3.manual/manual.yml;1200;58;13;0.059166666666666666;0.9441384736428009;0.9698513800424627;0.9516666666666667;0.9887445887445887;71;1200;1;1;0.0016666666666666668;0.9983361064891847;0.9991666666666666;0.9991666666666666;0.9991666666666666;2
AUTHORS;6;3;3;1.0;0.5;0.5;0.5;0.5;6;6;1;1;0.3333333333333333;0.75;0.8333333333333334;0.8333333333333334;0.8333333333333334;2
execute.c;538;15;1;0.02973977695167286;0.9711191335740073;0.9849340866290018;0.9721189591078067;0.9980916030534351;16;538;1;0;0.0018587360594795538;0.9981447124304267;0.9990697674418605;0.9981412639405205;1.0;1
docs/Rakefile;112;2;1;0.026785714285714284;0.9739130434782609;0.9865470852017937;0.9821428571428571;0.990990990990991;3;112;1;0;0.008928571428571428;0.9911504424778761;0.9955156950672646;0.9910714285714286;1.0;1
parser.y;499;2;4;0.012024048096192385;0.9881188118811881;0.994;0.9959919839679359;0.9920159680638723;6;499;1;1;0.004008016032064128;0.9960079840319361;0.9979959919839679;0.9979959919839679;0.9979959919839679;2
main.c;298;3;3;0.020134228187919462;0.9802631578947368;0.9899328859060402;0.9899328859060402;0.9899328859060402;6;298;3;3;0.020134228187919462;0.9802631578947368;0.9899328859060402;0.9899328859060402;0.9899328859060402;6
builtin.c;565;5;8;0.023008849557522124;0.9775086505190311;0.9885260370697264;0.9911504424778761;0.9859154929577465;13;565;1;1;0.0035398230088495575;0.9964726631393298;0.9982300884955753;0.9982300884955753;0.9982300884955753;2
jq_test.c;257;14;3;0.06614785992217899;0.9379562043795621;0.9662027833001988;0.9455252918287937;0.9878048780487805;17;257;18;7;0.09727626459143969;0.9113475177304965;0.9502982107355866;0.9299610894941635;0.9715447154471545;25
docs/content/3.manual/manual.yml;1200;2;2;0.0033333333333333335;0.9966777408637874;0.9983333333333333;0.9983333333333333;0.9983333333333333;4;1200;1;1;0.0016666666666666668;0.9983361064891847;0.9991666666666666;0.9991666666666666;0.9991666666666666;2
jq_test.c;229;2;19;0.09170305676855896;0.916;0.9557894736842105;0.9912663755458515;0.9227642276422764;21;229;2;19;0.09170305676855896;0.916;0.9557894736842105;0.9912663755458515;0.9227642276422764;21
main.c;335;1;0;0.0029850746268656717;0.9970238095238095;0.9985052316890882;0.9970149253731343;1.0;1;335;1;0;0.0029850746268656717;0.9970238095238095;0.9985052316890882;0.9970149253731343;1.0;1
execute.c;754;71;30;0.13395225464190982;0.8818713450292398;0.9311520109066121;0.9058355437665783;0.9579242636746143;101;754;217;125;0.4535809018567639;0.6879562043795621;0.7584745762711865;0.7122015915119363;0.8111782477341389;342
exec_stack.h;82;4;1;0.06097560975609756;0.9425287356321839;0.968944099378882;0.9512195121951219;0.9873417721518988;5;82;4;1;0.06097560975609756;0.9425287356321839;0.968944099378882;0.9512195121951219;0.9873417721518988;5
Makefile.am;147;3;3;0.04081632653061224;0.9607843137254902;0.9795918367346939;0.9795918367346939;0.9795918367346939;6;147;3;3;0.04081632653061224;0.9607843137254902;0.9795918367346939;0.9795918367346939;0.9795918367346939;6
execute.c;767;1;3;0.005215123859191656;0.9948119325551232;0.9973958333333334;0.9986962190352021;0.9960988296488946;4;767;20;5;0.03259452411994785;0.9684343434343434;0.9835418038183016;0.9739243807040417;0.9933510638297872;25
builtin.c;591;0;2;0.00338409475465313;0.9966273187183811;0.9983108108108107;1.0;0.9966273187183811;2;591;1;41;0.07106598984771574;0.933649289099526;0.9656301145662849;0.9983079526226735;0.9350237717908082;42
lexer.l;174;2;1;0.017241379310344827;0.9830508474576272;0.9913544668587896;0.9885057471264368;0.9942196531791907;3;174;2;1;0.017241379310344827;0.9830508474576272;0.9913544668587896;0.9885057471264368;0.9942196531791907;3
