file;totalLines_svn;addedLines_svn;removedLines_svn;percentageOfChange_svn;accuracy_svn;measure_svn;recall_svn;precision_svn;effort_svn;totalLines_git;addedLines_git;removedLines_git;percentageOfChange_git;accuracy_git;measure_git;recall_git;precision_git;effort_git
src/event.js;896;22;6;0.03125;0.9696969696969697;0.9842342342342343;0.9754464285714286;0.9931818181818182;28;896;3;4;0.0078125;0.9922480620155039;0.9960959286112661;0.9966517857142857;0.9955406911928651;7
src/core.js;572;1;1;0.0034965034965034965;0.9965156794425087;0.9982517482517482;0.9982517482517482;0.9982517482517482;2;572;1;1;0.0034965034965034965;0.9965156794425087;0.9982517482517482;0.9982517482517482;0.9982517482517482;2
src/core.js;573;3;3;0.010471204188481676;0.9896373056994818;0.9947643979057592;0.9947643979057592;0.9947643979057592;6;573;1;1;0.0034904013961605585;0.9965217391304347;0.9982547993019197;0.9982547993019197;0.9982547993019197;2
src/event.js;952;5;3;0.008403361344537815;0.9916666666666667;0.9957939011566773;0.9947478991596639;0.9968421052631579;8;952;5;3;0.008403361344537815;0.9916666666666667;0.9957939011566773;0.9947478991596639;0.9968421052631579;8
test/unit/core.js;846;19;0;0.022458628841607566;0.9780346820809248;0.9886431560071728;0.9775413711583925;1.0;19;846;19;0;0.022458628841607566;0.9780346820809248;0.9886431560071728;0.9775413711583925;1.0;19
src/core.js;790;31;0;0.039240506329113925;0.9622411693057247;0.9799870884441575;0.9607594936708861;1.0;31;790;31;0;0.039240506329113925;0.9622411693057247;0.9799870884441575;0.9607594936708861;1.0;31
src/event.js;939;6;4;0.010649627263045794;0.9894625922023182;0.9946695095948828;0.9936102236421726;0.9957310565635006;10;939;6;4;0.010649627263045794;0.9894625922023182;0.9946695095948828;0.9936102236421726;0.9957310565635006;10
src/event.js;1114;18;3;0.018850987432675045;0.9814977973568282;0.990510619069137;0.9838420107719928;0.997270245677889;21;1114;2;1;0.0026929982046678637;0.9973142345568488;0.9986528962730131;0.9982046678635548;0.9991015274034142;3
test/data/offset/absolute.html;50;2;0;0.04;0.9615384615384616;0.9795918367346939;0.96;1.0;2;50;2;0;0.04;0.9615384615384616;0.9795918367346939;0.96;1.0;2
test/unit/offset.js;446;18;7;0.05605381165919283;0.9469214437367304;0.9716231555051078;0.9596412556053812;0.9839080459770115;25;446;18;7;0.05605381165919283;0.9469214437367304;0.9716231555051078;0.9596412556053812;0.9839080459770115;25
src/core.js;877;20;7;0.03078677309007982;0.9701327433628318;0.9844916714531878;0.9771949828962372;0.9918981481481481;27;877;2;1;0.0034207525655644243;0.9965909090909091;0.9982886480319452;0.9977194982896237;0.9988584474885844;3
src/ajax.js;703;3;1;0.005689900426742532;0.9943422913719944;0.9971509971509971;0.9957325746799431;0.9985734664764622;4;703;2;2;0.005689900426742532;0.9943422913719944;0.9971550497866287;0.9971550497866287;0.9971550497866287;4
src/ajax.js;704;20;12;0.045454545454545456;0.9565217391304348;0.9771428571428572;0.9715909090909091;0.9827586206896551;32;704;2;2;0.005681818181818182;0.9943502824858758;0.9971590909090909;0.9971590909090909;0.9971590909090909;4
test/unit/traversing.js;444;2;2;0.009009009009009009;0.9910714285714286;0.9954954954954955;0.9954954954954955;0.9954954954954955;4;444;5;1;0.013513513513513514;0.9866666666666667;0.9932126696832579;0.9887387387387387;0.9977272727272727;6
src/traversing.js;281;4;0;0.014234875444839857;0.9859649122807017;0.992831541218638;0.9857651245551602;1.0;4;281;9;5;0.0498220640569395;0.9525423728813559;0.974910394265233;0.9679715302491103;0.9819494584837545;14
test/unit/css.js;258;20;6;0.10077519379844961;0.9084507042253521;0.9482071713147411;0.9224806201550387;0.9754098360655737;26;258;1;14;0.05813953488372093;0.945054945054945;0.9716446124763705;0.9961240310077519;0.948339483394834;15
src/css.js;298;37;23;0.20134228187919462;0.8324022346368715;0.8969072164948453;0.8758389261744967;0.9190140845070423;60;298;7;2;0.030201342281879196;0.9706840390879479;0.984771573604061;0.9765100671140939;0.9931740614334471;9
test/unit/css.js;301;46;3;0.16279069767441862;0.86;0.9123434704830052;0.8471760797342193;0.9883720930232558;49;301;14;1;0.04983388704318937;0.9525316455696202;0.9745331069609507;0.9534883720930233;0.9965277777777778;15
src/css.js;302;13;9;0.0728476821192053;0.9320987654320988;0.9633333333333334;0.956953642384106;0.9697986577181208;22;302;2;7;0.029801324503311258;0.9710610932475884;0.9852216748768472;0.9933774834437086;0.9771986970684039;9
src/ajax.js;718;2;2;0.005571030640668524;0.9944598337950139;0.9972144846796658;0.9972144846796658;0.9972144846796658;4;718;4;2;0.008356545961002786;0.9917127071823204;0.9958158995815899;0.9944289693593314;0.9972067039106145;6
src/effects.js;508;4;3;0.013779527559055118;0.9864077669902913;0.9931034482758622;0.9921259842519685;0.9940828402366864;7;508;2;2;0.007874015748031496;0.9921875;0.9960629921259843;0.9960629921259843;0.9960629921259843;4
test/unit/event.js;1863;1;1;0.0010735373054213634;0.9989276139410188;0.9994632313472893;0.9994632313472893;0.9994632313472893;2;1863;4;1;0.0026838432635534087;0.9973233404710921;0.9986569970453936;0.9978529253891573;0.9994623655913979;5
src/ajax.js;723;10;4;0.019363762102351315;0.9810040705563093;0.9902777777777778;0.9861687413554634;0.9944211994421199;14;723;1;1;0.0027662517289073307;0.9972413793103448;0.9986168741355463;0.9986168741355463;0.9986168741355463;2
src/ajax.js;719;6;5;0.015299026425591099;0.9849315068493151;0.9923451635351426;0.9916550764951322;0.9930362116991643;11;719;5;4;0.012517385257301807;0.9876373626373627;0.9937369519832986;0.9930458970792768;0.9944289693593314;9
test/unit/selector.js;464;11;3;0.03017241379310345;0.9707112970711297;0.9847826086956522;0.9762931034482759;0.993421052631579;14;464;5;5;0.021551724137931036;0.9789029535864979;0.9892241379310345;0.9892241379310345;0.9892241379310345;10
test/unit/attributes.js;804;8;4;0.014925373134328358;0.9852941176470589;0.9925187032418954;0.9900497512437811;0.995;12;804;48;3;0.06343283582089553;0.9403508771929825;0.9673704414587333;0.9402985074626866;0.9960474308300395;51
src/attributes.js;384;1;1;0.005208333333333333;0.9948186528497409;0.9973958333333334;0.9973958333333334;0.9973958333333334;2;384;73;66;0.3619791666666667;0.734225621414914;0.8173455978975034;0.8098958333333334;0.8249336870026526;139
src/ajax.js;719;1;1;0.0027816411682892906;0.9972260748959778;0.9986091794158554;0.9986091794158554;0.9986091794158554;2;719;7;14;0.02920723226703755;0.9716216216216216;0.9854671280276817;0.9902642559109874;0.9807162534435262;21
src/event.js;1197;2;2;0.003341687552213868;0.9966694421315571;0.9983291562238931;0.9983291562238931;0.9983291562238931;4;1197;1;1;0.001670843776106934;0.9983319432860718;0.9991645781119465;0.9991645781119465;0.9991645781119465;2
