file;totalLines_svn;addedLines_svn;removedLines_svn;percentageOfChange_svn;accuracy_svn;measure_svn;recall_svn;precision_svn;effort_svn;totalLines_git;addedLines_git;removedLines_git;percentageOfChange_git;accuracy_git;measure_git;recall_git;precision_git;effort_git
junit5-engine/src/main/java/org/junit/gen5/engine/junit5/descriptor/SpecificationResolver.java;148;67;106;1.1689189189189189;0.46105919003115264;0.48358208955223875;0.5472972972972973;0.43315508021390375;173;148;1;1;0.013513513513513514;0.9866666666666667;0.9932432432432432;0.9932432432432432;0.9932432432432432;2
junit5-engine/src/main/java/org/junit/gen5/engine/junit5/descriptor/TestClassTester.java;38;3;1;0.10526315789473684;0.9047619047619048;0.9459459459459458;0.9210526315789473;0.9722222222222222;4;38;3;1;0.10526315789473684;0.9047619047619048;0.9459459459459458;0.9210526315789473;0.9722222222222222;4
junit-commons/src/main/java/org/junit/gen5/commons/util/ReflectionUtils.java;125;4;9;0.104;0.9057971014492754;0.9490196078431372;0.968;0.9307692307692308;13;125;4;9;0.104;0.9057971014492754;0.9490196078431372;0.968;0.9307692307692308;13
junit5-engine/src/main/java/org/junit/gen5/engine/junit5/descriptor/TestClassTester.java;37;3;1;0.10810810810810811;0.9024390243902439;0.9444444444444445;0.918918918918919;0.9714285714285714;4;37;3;1;0.10810810810810811;0.9024390243902439;0.9444444444444445;0.918918918918919;0.9714285714285714;4
junit-commons/src/main/java/org/junit/gen5/commons/util/ReflectionUtils.java;129;4;9;0.10077519379844961;0.9084507042253521;0.9505703422053232;0.9689922480620154;0.9328358208955224;13;129;4;9;0.10077519379844961;0.9084507042253521;0.9505703422053232;0.9689922480620154;0.9328358208955224;13
junit4-launcher-runner/src/main/java/org/junit/gen5/junit4runner/JUnit5.java;246;4;4;0.032520325203252036;0.968503937007874;0.983739837398374;0.983739837398374;0.983739837398374;8;246;4;4;0.032520325203252036;0.968503937007874;0.983739837398374;0.983739837398374;0.983739837398374;8
sample-project/src/test/java/com/example/JUnit4SamplesSuite.java;30;2;1;0.1;0.9090909090909091;0.9491525423728815;0.9333333333333333;0.9655172413793104;3;30;2;1;0.1;0.9090909090909091;0.9491525423728815;0.9333333333333333;0.9655172413793104;3
junit5-engine/src/main/java/org/junit/gen5/engine/junit5/JUnit5TestEngine.java;114;6;34;0.3508771929824561;0.7402597402597403;0.8437499999999999;0.9473684210526315;0.7605633802816901;40;114;6;34;0.3508771929824561;0.7402597402597403;0.8437499999999999;0.9473684210526315;0.7605633802816901;40
junit4-engine/src/main/java/org/junit/gen5/engine/junit4/JUnit4TestEngine.java;140;15;8;0.16428571428571428;0.8588957055214724;0.9157509157509158;0.8928571428571429;0.9398496240601504;23;140;15;8;0.16428571428571428;0.8588957055214724;0.9157509157509158;0.8928571428571429;0.9398496240601504;23
junit5-engine/src/main/java/org/junit/gen5/engine/junit5/testers/CanBeTestClass.java;38;3;3;0.15789473684210525;0.8636363636363636;0.9210526315789473;0.9210526315789473;0.9210526315789473;6;38;3;3;0.15789473684210525;0.8636363636363636;0.9210526315789473;0.9210526315789473;0.9210526315789473;6
junit5-engine/src/main/java/org/junit/gen5/engine/junit5/descriptor/SpecificationResolver.java;153;51;46;0.6339869281045751;0.612;0.6777408637873754;0.6666666666666666;0.6891891891891891;97;153;7;5;0.0784313725490196;0.9272727272727272;0.9605263157894737;0.954248366013072;0.9668874172185431;12
junit5-engine/src/main/java/org/junit/gen5/engine/junit5/descriptor/ClassTestDescriptor.java;64;10;13;0.359375;0.735632183908046;0.8244274809160305;0.84375;0.8059701492537313;23;64;10;13;0.359375;0.735632183908046;0.8244274809160305;0.84375;0.8059701492537313;23
junit5-engine/src/main/java/org/junit/gen5/engine/junit5/descriptor/MethodTestDescriptor.java;76;10;14;0.3157894736842105;0.76;0.8461538461538461;0.868421052631579;0.825;24;76;10;14;0.3157894736842105;0.76;0.8461538461538461;0.868421052631579;0.825;24
junit5-engine/src/main/java/org/junit/gen5/engine/junit5/descriptor/SpecificationResolver.java;166;3;3;0.03614457831325301;0.9651162790697675;0.9819277108433735;0.9819277108433735;0.9819277108433735;6;166;0;13;0.0783132530120482;0.9273743016759777;0.9623188405797102;1.0;0.9273743016759777;13
junit5-engine/src/main/java/org/junit/gen5/engine/junit5/descriptor/JUnit5TestableFactory.java;171;7;11;0.10526315789473684;0.9047619047619048;0.9479768786127168;0.9590643274853801;0.9371428571428572;18;171;1;9;0.05847953216374269;0.9447513812154696;0.9714285714285714;0.9941520467836257;0.9497206703910615;10
junit5-engine/src/main/java/org/junit/gen5/engine/junit5/descriptor/JUnit5Testable.java;52;11;10;0.40384615384615385;0.7123287671232876;0.7961165048543688;0.7884615384615384;0.803921568627451;21;52;0;8;0.15384615384615385;0.8666666666666667;0.9285714285714286;1.0;0.8666666666666667;8
junit-commons/src/main/java/org/junit/gen5/commons/util/ReflectionUtils.java;197;20;9;0.14720812182741116;0.8716814159292036;0.9242819843342037;0.8984771573604061;0.9516129032258065;29;197;13;9;0.1116751269035533;0.8995433789954338;0.9435897435897436;0.934010152284264;0.9533678756476683;22
sample-project/src/test/java/com/example/SampleTestCase.java;161;2;0;0.012422360248447204;0.9877300613496932;0.99375;0.9875776397515528;1.0;2;161;32;0;0.19875776397515527;0.8341968911917098;0.889655172413793;0.8012422360248447;1.0;32
