file;totalLines_svn;addedLines_svn;removedLines_svn;percentageOfChange_svn;accuracy_svn;measure_svn;recall_svn;precision_svn;effort_svn;totalLines_git;addedLines_git;removedLines_git;percentageOfChange_git;accuracy_git;measure_git;recall_git;precision_git;effort_git
uv.gyp;402;3;0;0.007462686567164179;0.9925925925925926;0.9962546816479401;0.9925373134328358;1.0;3;402;3;0;0.007462686567164179;0.9925925925925926;0.9962546816479401;0.9925373134328358;1.0;3
src/unix/internal.h;186;55;18;0.3924731182795699;0.7181467181467182;0.7820895522388059;0.7043010752688172;0.8791946308724832;73;186;4;0;0.021505376344086023;0.9789473684210527;0.9891304347826088;0.978494623655914;1.0;4
include/uv.h;1363;40;0;0.029347028613352897;0.9714896650035638;0.9851079672375279;0.9706529713866471;1.0;40;1363;0;1;7.336757153338225E-4;0.999266862170088;0.9996332966629996;1.0;0.999266862170088;1
uv.gyp;401;2;3;0.012468827930174564;0.9876847290640394;0.9937733499377335;0.9950124688279302;0.9925373134328358;5;401;1;3;0.00997506234413965;0.9901234567901235;0.9950248756218906;0.9975062344139651;0.9925558312655087;4
test/test-list.h;292;3;0;0.010273972602739725;0.9898305084745763;0.9948364888123925;0.9897260273972602;1.0;3;292;3;0;0.010273972602739725;0.9898305084745763;0.9948364888123925;0.9897260273972602;1.0;3
src/unix/pipe.c;278;2;2;0.014388489208633094;0.9858156028368794;0.9928057553956835;0.9928057553956835;0.9928057553956835;4;278;5;0;0.017985611510791366;0.9823321554770318;0.9909255898366606;0.9820143884892086;1.0;5
src/win/udp.c;579;1;1;0.0034542314335060447;0.9965576592082617;0.998272884283247;0.998272884283247;0.998272884283247;2;579;122;140;0.4525043177892919;0.6884661117717004;0.7772108843537415;0.7892918825561313;0.7654941373534339;262
src/win/tty.c;1759;1;1;0.0011370096645821489;0.9988642816581488;0.9994314951677089;0.9994314951677089;0.9994314951677089;2;1759;1;1;0.0011370096645821489;0.9988642816581488;0.9994314951677089;0.9994314951677089;0.9994314951677089;2
include/uv-private/uv-win.h;438;15;0;0.03424657534246575;0.9668874172185431;0.9825783972125435;0.9657534246575342;1.0;15;438;2;1;0.00684931506849315;0.9931972789115646;0.9965714285714286;0.9954337899543378;0.9977116704805492;3
include/uv.h;1375;40;0;0.02909090909090909;0.9717314487632509;0.985239852398524;0.9709090909090909;1.0;40;1375;24;12;0.02618181818181818;0.9744861800141743;0.9868517165814462;0.9825454545454545;0.9911958914159942;36
config-unix.mk;165;0;1;0.006060606060606061;0.9939759036144579;0.9969788519637462;1.0;0.9939759036144579;1;165;0;1;0.006060606060606061;0.9939759036144579;0.9969788519637462;1.0;0.9939759036144579;1
src/unix/pipe.c;277;2;2;0.01444043321299639;0.9857651245551602;0.9927797833935018;0.9927797833935018;0.9927797833935018;4;277;0;1;0.0036101083032490976;0.9964028776978417;0.9981981981981982;1.0;0.9964028776978417;1
src/unix/core.c;877;9;1;0.011402508551881414;0.9887260428410372;0.9942726231386025;0.9897377423033067;0.998849252013809;10;877;9;1;0.011402508551881414;0.9887260428410372;0.9942726231386025;0.9897377423033067;0.998849252013809;10
src/unix/stream.c;966;7;0;0.007246376811594203;0.9928057553956835;0.9963636363636363;0.9927536231884058;1.0;7;966;7;0;0.007246376811594203;0.9928057553956835;0.9963636363636363;0.9927536231884058;1.0;7
test/runner.c;311;1;1;0.006430868167202572;0.9936102236421726;0.9967845659163987;0.9967845659163987;0.9967845659163987;2;311;1;1;0.006430868167202572;0.9936102236421726;0.9967845659163987;0.9967845659163987;0.9967845659163987;2
README.md;88;1;1;0.022727272727272728;0.9777777777777777;0.9886363636363636;0.9886363636363636;0.9886363636363636;2;88;4;8;0.13636363636363635;0.88;0.9333333333333332;0.9545454545454546;0.9130434782608695;12
AUTHORS;39;1;0;0.02564102564102564;0.975;0.9870129870129869;0.9743589743589743;1.0;1;39;1;0;0.02564102564102564;0.975;0.9870129870129869;0.9743589743589743;1.0;1
uv.gyp;402;6;1;0.017412935323383085;0.9828850855745721;0.9912390488110139;0.9850746268656716;0.9974811083123426;7;402;1;0;0.0024875621890547263;0.9975186104218362;0.9987546699875467;0.9975124378109452;1.0;1
test/test-list.h;292;12;1;0.04452054794520548;0.9573770491803278;0.9773123909249563;0.958904109589041;0.99644128113879;13;292;2;2;0.0136986301369863;0.9864864864864865;0.9931506849315068;0.9931506849315068;0.9931506849315068;4
src/unix/core.c;877;2;2;0.004561003420752566;0.9954597048808173;0.9977194982896237;0.9977194982896237;0.9977194982896237;4;877;3;3;0.0068415051311288486;0.9932049830124575;0.9965792474344356;0.9965792474344356;0.9965792474344356;6
src/unix/internal.h;188;55;18;0.3882978723404255;0.7203065134099617;0.784660766961652;0.7074468085106383;0.8807947019867549;73;188;3;1;0.02127659574468085;0.9791666666666666;0.9893048128342246;0.9840425531914894;0.9946236559139785;4
src/unix/linux.c;683;366;0;0.5358711566617862;0.6510962821734986;0.634;0.46412884333821375;1.0;366;683;237;128;0.5344070278184481;0.6517175572519084;0.7096260938743039;0.6530014641288433;0.7770034843205574;365
src/win/pipe.c;1587;1;1;0.001260239445494644;0.9987413467589679;0.9993698802772527;0.9993698802772527;0.9993698802772527;2;1587;673;156;0.5223692501575299;0.6568708609271523;0.6879939781708694;0.5759294265910523;0.8542056074766355;829
src/win/tcp.c;1147;2;1;0.0026155187445510027;0.9973913043478261;0.9986916703009159;0.998256320836966;0.9991273996509599;3;1147;2;1;0.0026155187445510027;0.9973913043478261;0.9986916703009159;0.998256320836966;0.9991273996509599;3
test/test-fs.c;1546;68;0;0.04398447606727038;0.9578686493184635;0.9775132275132276;0.9560155239327296;1.0;68;1546;68;0;0.04398447606727038;0.9578686493184635;0.9775132275132276;0.9560155239327296;1.0;68
test/test-list.h;306;4;0;0.013071895424836602;0.9870967741935484;0.993421052631579;0.9869281045751634;1.0;4;306;4;0;0.013071895424836602;0.9870967741935484;0.993421052631579;0.9869281045751634;1.0;4
src/unix/sunos.c;469;269;0;0.5735607675906184;0.6355013550135501;0.5979073243647234;0.42643923240938164;1.0;269;469;2;0;0.0042643923240938165;0.9957537154989384;0.9978632478632478;0.9957356076759062;1.0;2
