file;totalLines_svn;addedLines_svn;removedLines_svn;percentageOfChange_svn;accuracy_svn;measure_svn;recall_svn;precision_svn;effort_svn;totalLines_git;addedLines_git;removedLines_git;percentageOfChange_git;accuracy_git;measure_git;recall_git;precision_git;effort_git
libobs/CMakeLists.txt;80;5;1;0.075;0.9302325581395349;0.9615384615384615;0.9375;0.9868421052631579;6;80;2;2;0.05;0.9523809523809523;0.975;0.975;0.975;4
test/test-input/CMakeLists.txt;30;14;11;0.8333333333333334;0.5454545454545454;0.5614035087719299;0.5333333333333333;0.5925925925925926;25;30;9;2;0.36666666666666664;0.7317073170731707;0.7924528301886793;0.7;0.9130434782608695;11
plugins/mac-capture/mac-audio.c;623;38;26;0.10272873194221509;0.9068413391557496;0.9481361426256079;0.9390048154093098;0.9574468085106383;64;623;5;5;0.016051364365971106;0.9842022116903634;0.9919743178170144;0.9919743178170144;0.9919743178170144;10
test/osx/test.mm;177;78;117;1.1016949152542372;0.47580645161290325;0.5038167938931297;0.559322033898305;0.4583333333333333;195;177;86;125;1.192090395480226;0.45618556701030927;0.4631043256997455;0.5141242937853108;0.4212962962962963;211
libobs-opengl/gl-subsystem.c;1308;13;24;0.028287461773700305;0.9724907063197026;0.9859154929577464;0.9900611620795107;0.9818043972706596;37;1308;6;2;0.0061162079510703364;0.993920972644377;0.996937212863706;0.9954128440366973;0.9984662576687117;8
obs/window-basic-main.cpp;1277;65;23;0.06891151135473766;0.9355311355311355;0.964968152866242;0.9490994518402506;0.9813765182186235;88;1277;1;0;7.830853563038371E-4;0.9992175273865415;0.9996083039561301;0.9992169146436961;1.0;1
libobs/obs-internal.h;449;101;27;0.28507795100222716;0.7781629116117851;0.8446601941747574;0.7750556792873051;0.928;128;449;2;0;0.004454342984409799;0.9955654101995566;0.9977678571428571;0.9955456570155902;1.0;2
libobs/obs.h;999;4;30;0.03403403403403404;0.9670861568247822;0.983201581027668;0.995995995995996;0.9707317073170731;34;999;3;0;0.003003003003003003;0.9970059880239521;0.9984962406015038;0.996996996996997;1.0;3
libobs/obs-source.c;1912;495;148;0.33629707112970714;0.7483365949119374;0.8150704630428531;0.7411087866108786;0.9054313099041533;643;1912;72;23;0.049686192468619245;0.9526656701544594;0.9748344370860926;0.9623430962343096;0.9876543209876543;95
libobs/obs.h;1051;62;7;0.06565176022835395;0.9383928571428571;0.9662921348314607;0.9410085632730733;0.9929718875502008;69;1051;62;7;0.06565176022835395;0.9383928571428571;0.9662921348314607;0.9410085632730733;0.9929718875502008;69
obs/window-basic-settings.cpp;829;5;7;0.014475271411338963;0.985731272294887;0.9927710843373494;0.9939686369119421;0.9915764139590855;12;829;1;1;0.0024125452352231603;0.9975932611311673;0.9987937273823885;0.9987937273823885;0.9987937273823885;2
