file;totalLines_svn;addedLines_svn;removedLines_svn;percentageOfChange_svn;accuracy_svn;measure_svn;recall_svn;precision_svn;effort_svn;totalLines_git;addedLines_git;removedLines_git;percentageOfChange_git;accuracy_git;measure_git;recall_git;precision_git;effort_git
pandas/core/frame.py;2079;14;0;0.006734006734006734;0.9933110367892977;0.9966216216216216;0.9932659932659933;1.0;14;2079;14;0;0.006734006734006734;0.9933110367892977;0.9966216216216216;0.9932659932659933;1.0;14
pandas/core/panel.py;2023;6;56;0.03064755313890262;0.9702637889688249;0.98486328125;0.9970341077607514;0.9729860106126387;62;2023;13;2;0.007414730598121601;0.992639842983317;0.9962825278810409;0.9935739001482946;0.9990059642147118;15
pandas/core/frame.py;2400;38;3;0.017083333333333332;0.9832036050798852;0.9913955928646379;0.9841666666666666;0.9987315010570824;41;2400;56;0;0.023333333333333334;0.9771986970684039;0.988195615514334;0.9766666666666667;1.0;56
pandas/core/tests/test_frame.py;1845;273;106;0.20542005420054202;0.8295863309352518;0.8924212319046269;0.8520325203252033;0.9368295589988082;379;1845;42;46;0.04769647696476965;0.9544749094671495;0.9761775852734164;0.9772357723577236;0.9751216873985938;88
pandas/core/matrix.py;1058;2;2;0.003780718336483932;0.9962335216572504;0.998109640831758;0.998109640831758;0.998109640831758;4;1058;26;15;0.038752362948960305;0.9626933575978162;0.9805225653206651;0.9754253308128544;0.9856733524355301;41
pandas/core/tests/test_panel.py;1002;0;1;9.98003992015968E-4;0.9990029910269193;0.9995012468827931;1.0;0.9990029910269193;1;1002;0;1;9.98003992015968E-4;0.9990029910269193;0.9995012468827931;1.0;0.9990029910269193;1
pandas/core/panel.py;2054;22;0;0.010710808179162609;0.9894026974951831;0.994615761135585;0.9892891918208374;1.0;22;2054;3;10;0.006329113924050633;0.9937106918238994;0.9968408262454435;0.998539435248296;0.995147986414362;13
pandas/core/sparse.py;1198;10;0;0.008347245409015025;0.9917218543046358;0.9958088851634534;0.991652754590985;1.0;10;1198;5;4;0.007512520868113523;0.9925434962717481;0.996242171189979;0.9958263772954925;0.9966583124477861;9
pandas/core/frame.py;2510;4;6;0.00398406374501992;0.996031746031746;0.9980087614496216;0.998406374501992;0.9976114649681529;10;2510;125;156;0.11195219123505976;0.8993192404156216;0.944367451989705;0.950199203187251;0.9386068476977568;281
pandas/stats/ols.py;1222;10;10;0.016366612111292964;0.9838969404186796;0.9918166939443536;0.9918166939443536;0.9918166939443536;20;1222;10;10;0.016366612111292964;0.9838969404186796;0.9918166939443536;0.9918166939443536;0.9918166939443536;20
pandas/stats/tests/test_ols.py;537;5;2;0.01303538175046555;0.9871323529411765;0.9934640522875817;0.9906890130353817;0.9962546816479401;7;537;5;2;0.01303538175046555;0.9871323529411765;0.9934640522875817;0.9906890130353817;0.9962546816479401;7
pandas/core/sparse.py;1217;5;4;0.007395234182415777;0.9926590538336052;0.9963008631319359;0.9958915365653246;0.9967105263157895;9;1217;5;4;0.007395234182415777;0.9926590538336052;0.9963008631319359;0.9958915365653246;0.9967105263157895;9
pandas/core/matrix.py;780;23;0;0.029487179487179487;0.9713574097135741;0.985035783994795;0.9705128205128205;1.0;23;780;260;550;1.0384615384615385;0.49056603773584906;0.5621621621621622;0.6666666666666666;0.48598130841121495;810
pandas/core/sparse.py;1280;4;3;0.00546875;0.9945609945609946;0.99726455646737;0.996875;0.9976544175136826;7;1280;4;3;0.00546875;0.9945609945609946;0.99726455646737;0.996875;0.9976544175136826;7
pandas/core/internals.py;790;252;307;0.7075949367088608;0.5856189770200149;0.6581039755351683;0.6810126582278481;0.6366863905325444;559;790;257;312;0.720253164556962;0.5813097866077999;0.6519877675840979;0.6746835443037975;0.6307692307692307;569
pandas/core/frame.py;2603;8;14;0.008451786400307337;0.9916190476190476;0.9957789716039908;0.996926623127161;0.9946339593714066;22;2603;8;14;0.008451786400307337;0.9916190476190476;0.9957789716039908;0.996926623127161;0.9946339593714066;22
pandas/tests/test_frame.py;2455;25;2;0.010997963340122199;0.9891216760676873;0.9944751381215469;0.9898167006109979;0.9991776315789473;27;2455;13;2;0.006109979633401222;0.9939271255060729;0.9969381506429884;0.994704684317719;0.9991816693944353;15
pandas/core/internals.py;823;171;138;0.3754556500607533;0.7270318021201413;0.8084314941103533;0.7922235722964763;0.8253164556962025;309;823;360;384;0.9040097205346294;0.5252074026802808;0.5544910179640719;0.5625759416767923;0.5466351829988194;744
pandas/core/frame.py;2571;36;68;0.04045118630882925;0.9611214953271028;0.9798994974874371;0.9859976662777129;0.9738762965808683;104;2571;37;80;0.045507584597432905;0.9564732142857143;0.9774349083895852;0.9856087125632049;0.9693955623565417;117
