file;totalLines_svn;addedLines_svn;removedLines_svn;percentageOfChange_svn;accuracy_svn;measure_svn;recall_svn;precision_svn;effort_svn;totalLines_git;addedLines_git;removedLines_git;percentageOfChange_git;accuracy_git;measure_git;recall_git;precision_git;effort_git
docs/docs/tutorial.md;681;1;1;0.002936857562408223;0.9970717423133236;0.9985315712187959;0.9985315712187959;0.9985315712187959;2;681;5;2;0.010279001468428781;0.9898255813953488;0.9948491537895512;0.9926578560939795;0.9970501474926253;7
docs/docs/tutorial.md;685;10;3;0.01897810218978102;0.9813753581661891;0.9904622157006603;0.9854014598540146;0.995575221238938;13;685;10;3;0.01897810218978102;0.9813753581661891;0.9904622157006603;0.9854014598540146;0.995575221238938;13
package.json;59;1;0;0.01694915254237288;0.9833333333333333;0.9914529914529915;0.9830508474576272;1.0;1;59;1;0;0.01694915254237288;0.9833333333333333;0.9914529914529915;0.9830508474576272;1.0;1
docs/_layouts/default.html;84;1;0;0.011904761904761904;0.9882352941176471;0.9940119760479043;0.9880952380952381;1.0;1;84;1;0;0.011904761904761904;0.9882352941176471;0.9940119760479043;0.9880952380952381;1.0;1
docs/_config.yml;17;2;0;0.11764705882352941;0.8947368421052632;0.9375;0.8823529411764706;1.0;2;17;2;0;0.11764705882352941;0.8947368421052632;0.9375;0.8823529411764706;1.0;2
src/core/ReactEventEmitter.js;341;5;0;0.01466275659824047;0.9855491329479769;0.9926144756277696;0.9853372434017595;1.0;5;341;5;0;0.01466275659824047;0.9855491329479769;0.9926144756277696;0.9853372434017595;1.0;5
src/core/ReactDefaultInjection.js;63;3;1;0.06349206349206349;0.9402985074626866;0.9677419354838709;0.9523809523809523;0.9836065573770492;4;63;3;1;0.06349206349206349;0.9402985074626866;0.9677419354838709;0.9523809523809523;0.9836065573770492;4
docs/docs/jsx-is-not-html.md;95;1;1;0.021052631578947368;0.979381443298969;0.9894736842105263;0.9894736842105263;0.9894736842105263;2;95;1;1;0.021052631578947368;0.979381443298969;0.9894736842105263;0.9894736842105263;0.9894736842105263;2
src/core/ReactComponent.js;593;22;6;0.047217537942664416;0.9549114331723028;0.976068376068376;0.9629005059021922;0.9896013864818024;28;593;22;6;0.047217537942664416;0.9549114331723028;0.976068376068376;0.9629005059021922;0.9896013864818024;28
src/core/__tests__/ReactComponent-test.js;135;19;0;0.14074074074074075;0.8766233766233766;0.9243027888446216;0.8592592592592593;1.0;19;135;19;0;0.14074074074074075;0.8766233766233766;0.9243027888446216;0.8592592592592593;1.0;19
src/core/ReactMount.js;286;3;1;0.013986013986013986;0.9862068965517241;0.9929824561403509;0.9895104895104895;0.9964788732394366;4;286;3;1;0.013986013986013986;0.9862068965517241;0.9929824561403509;0.9895104895104895;0.9964788732394366;4
src/core/ReactDefaultInjection.js;64;8;7;0.234375;0.810126582278481;0.8818897637795274;0.875;0.8888888888888888;15;64;3;1;0.0625;0.9411764705882353;0.9682539682539683;0.953125;0.9838709677419355;4
src/core/ReactNativeComponent.js;367;7;8;0.04087193460490463;0.9607329842931938;0.9795918367346939;0.9809264305177112;0.9782608695652174;15;367;25;9;0.09264305177111716;0.9152119700748129;0.9526462395543176;0.9318801089918256;0.9743589743589743;34
src/core/ReactDOM.js;150;5;3;0.05333333333333334;0.9493670886075949;0.9731543624161074;0.9666666666666667;0.9797297297297297;8;150;1;0;0.006666666666666667;0.9933774834437086;0.9966555183946488;0.9933333333333333;1.0;1
src/core/ReactNativeComponent.js;353;4;2;0.0169971671388102;0.9832869080779945;0.9914772727272727;0.9886685552407932;0.9943019943019943;6;353;7;22;0.0821529745042493;0.9240837696335078;0.9597780859916781;0.9801699716713881;0.9402173913043478;29
src/core/ReactDOMIDOperations.js;184;1;1;0.010869565217391304;0.989247311827957;0.9945652173913043;0.9945652173913043;0.9945652173913043;2;184;1;1;0.010869565217391304;0.989247311827957;0.9945652173913043;0.9945652173913043;0.9945652173913043;2
src/core/ReactComponent.js;529;116;96;0.4007561436672968;0.7139001349527665;0.7957610789980732;0.780718336483932;0.8113948919449901;212;529;7;3;0.01890359168241966;0.9814471243042672;0.9905123339658444;0.9867674858223062;0.9942857142857143;10
src/core/ReactCompositeComponent.js;909;147;129;0.30363036303630364;0.7670886075949367;0.8466666666666667;0.8382838283828383;0.8552188552188552;276;909;17;4;0.0231023102310231;0.9774193548387097;0.9883656509695292;0.9812981298129813;0.9955357142857143;21
docs/docs/api.md;153;4;2;0.0392156862745098;0.9622641509433962;0.9802631578947368;0.9738562091503268;0.9867549668874173;6;153;4;2;0.0392156862745098;0.9622641509433962;0.9802631578947368;0.9738562091503268;0.9867549668874173;6
src/core/ReactCompositeComponent.js;879;0;16;0.01820250284414107;0.982122905027933;0.9909808342728298;1.0;0.982122905027933;16;879;68;69;0.1558589306029579;0.8651574803149606;0.9221148379761227;0.9226393629124005;0.9215909090909091;137
.gitignore;24;2;0;0.08333333333333333;0.9230769230769231;0.9565217391304348;0.9166666666666666;1.0;2;24;2;0;0.08333333333333333;0.9230769230769231;0.9565217391304348;0.9166666666666666;1.0;2
src/utils/flattenChildren.js;54;16;65;1.5;0.4;0.48407643312101906;0.7037037037037037;0.36893203883495146;81;54;9;7;0.2962962962962963;0.7714285714285715;0.8490566037735849;0.8333333333333334;0.8653846153846154;16
docs/_js/examples/markdown.js;43;5;4;0.20930232558139536;0.8269230769230769;0.8941176470588236;0.8837209302325582;0.9047619047619048;9;43;2;2;0.09302325581395349;0.9148936170212766;0.9534883720930233;0.9534883720930233;0.9534883720930233;4
src/dom/components/ReactDOMSelect.js;156;2;4;0.038461538461538464;0.9629629629629629;0.980891719745223;0.9871794871794872;0.9746835443037974;6;156;2;4;0.038461538461538464;0.9629629629629629;0.980891719745223;0.9871794871794872;0.9746835443037974;6
src/dom/components/ReactDOMInput.js;166;2;0;0.012048192771084338;0.9880952380952381;0.993939393939394;0.9879518072289156;1.0;2;166;55;0;0.3313253012048193;0.751131221719457;0.8014440433212997;0.6686746987951807;1.0;55
src/eventPlugins/EnterLeaveEventPlugin.js;112;7;1;0.07142857142857142;0.9333333333333333;0.963302752293578;0.9375;0.9905660377358491;8;112;7;1;0.07142857142857142;0.9333333333333333;0.963302752293578;0.9375;0.9905660377358491;8
src/dom/components/__tests__/ReactDOMInput-test.js;120;23;0;0.19166666666666668;0.8391608391608392;0.8940092165898618;0.8083333333333333;1.0;23;120;1;2;0.025;0.975609756097561;0.9875518672199171;0.9916666666666667;0.9834710743801653;3
vendor/fbtransform/transforms/react.js;186;1;6;0.03763440860215054;0.9637305699481865;0.9814323607427056;0.9946236559139785;0.9685863874345549;7;186;1;6;0.03763440860215054;0.9637305699481865;0.9814323607427056;0.9946236559139785;0.9685863874345549;7
src/core/ReactNativeComponent.js;371;8;2;0.026954177897574125;0.973753280839895;0.986413043478261;0.9784366576819407;0.9945205479452055;10;371;34;34;0.18328840970350405;0.8451025056947609;0.9083557951482479;0.9083557951482479;0.9083557951482479;68
src/core/__tests__/ReactNativeComponent-test.js;366;1;1;0.00546448087431694;0.9945652173913043;0.9972677595628415;0.9972677595628415;0.9972677595628415;2;366;24;1;0.06830601092896176;0.9360613810741688;0.9647390691114246;0.9344262295081968;0.9970845481049563;25
src/core/ReactCompositeComponent.js;1008;22;1;0.022817460317460316;0.9776915615906887;0.9884711779448623;0.9781746031746031;0.9989868287740629;23;1008;2;2;0.003968253968253968;0.9960474308300395;0.998015873015873;0.998015873015873;0.998015873015873;4
Gruntfile.js;130;4;2;0.046153846153846156;0.9558823529411765;0.9767441860465116;0.9692307692307692;0.984375;6;130;1;1;0.015384615384615385;0.9848484848484849;0.9923076923076923;0.9923076923076923;0.9923076923076923;2
package.json;65;1;1;0.03076923076923077;0.9701492537313433;0.9846153846153847;0.9846153846153847;0.9846153846153847;2;65;1;1;0.03076923076923077;0.9701492537313433;0.9846153846153847;0.9846153846153847;0.9846153846153847;2
package.json;69;6;2;0.11594202898550725;0.8961038961038961;0.9402985074626865;0.9130434782608695;0.9692307692307692;8;69;6;2;0.11594202898550725;0.8961038961038961;0.9402985074626865;0.9130434782608695;0.9692307692307692;8
test/index.html;38;36;21;1.5;0.4;0.06557377049180328;0.05263157894736842;0.08695652173913043;57;38;1;0;0.02631578947368421;0.9743589743589743;0.9866666666666666;0.9736842105263158;1.0;1
docs/_css/react.scss;727;1;0;0.001375515818431912;0.9986263736263736;0.9993117687543015;0.9986244841815681;1.0;1;727;2;0;0.002751031636863824;0.9972565157750343;0.9986225895316804;0.9972489683631361;1.0;2
package.json;70;2;1;0.04285714285714286;0.958904109589041;0.9784172661870504;0.9714285714285714;0.9855072463768116;3;70;2;1;0.04285714285714286;0.958904109589041;0.9784172661870504;0.9714285714285714;0.9855072463768116;3
Gruntfile.js;146;13;0;0.08904109589041095;0.9182389937106918;0.953405017921147;0.910958904109589;1.0;13;146;0;10;0.0684931506849315;0.9358974358974359;0.9668874172185431;1.0;0.9358974358974359;10
docs/_config.yml;107;29;0;0.27102803738317754;0.7867647058823529;0.8432432432432433;0.7289719626168224;1.0;29;107;8;1;0.08411214953271028;0.9224137931034483;0.9565217391304348;0.9252336448598131;0.99;9
docs/docs/09.1-animation.md;99;2;2;0.04040404040404041;0.9611650485436893;0.9797979797979798;0.9797979797979798;0.9797979797979798;4;99;2;2;0.04040404040404041;0.9611650485436893;0.9797979797979798;0.9797979797979798;0.9797979797979798;4
src/core/ReactCompositeComponent.js;1186;20;12;0.026981450252951095;0.9737274220032841;0.9864636209813875;0.9831365935919055;0.9898132427843803;32;1186;20;12;0.026981450252951095;0.9737274220032841;0.9864636209813875;0.9831365935919055;0.9898132427843803;32
package.json;68;1;1;0.029411764705882353;0.9714285714285714;0.9852941176470589;0.9852941176470589;0.9852941176470589;2;68;1;1;0.029411764705882353;0.9714285714285714;0.9852941176470589;0.9852941176470589;0.9852941176470589;2
src/core/__tests__/ReactPropTypes-test.js;209;58;0;0.27751196172248804;0.7827715355805244;0.8388888888888888;0.722488038277512;1.0;58;209;4;3;0.03349282296650718;0.9675925925925926;0.9832134292565947;0.9808612440191388;0.9855769230769231;7
src/core/__tests__/ReactCompositeComponent-test.js;772;130;0;0.16839378238341968;0.8558758314855875;0.9080622347949081;0.8316062176165803;1.0;130;772;20;0;0.025906735751295335;0.9747474747474747;0.9868766404199476;0.9740932642487047;1.0;20
src/core/ReactCompositeComponent.js;1224;80;18;0.08006535947712418;0.9258698940998488;0.9589270746018442;0.934640522875817;0.9845094664371773;98;1224;18;10;0.02287581699346405;0.9776357827476039;0.9885245901639345;0.9852941176470589;0.9917763157894737;28
src/core/ReactCompositeComponent.js;1272;10;7;0.013364779874213837;0.9868114817688131;0.9933097205824478;0.9921383647798742;0.9944838455476753;17;1272;3;4;0.00550314465408805;0.9945269741985927;0.9972495088408645;0.9976415094339622;0.9968578161822467;7
