file;totalLines_svn;addedLines_svn;removedLines_svn;percentageOfChange_svn;accuracy_svn;measure_svn;recall_svn;precision_svn;effort_svn;totalLines_git;addedLines_git;removedLines_git;percentageOfChange_git;accuracy_git;measure_git;recall_git;precision_git;effort_git
redis.c;3070;79;2;0.026384364820846905;0.97429387496033;0.9866402770905492;0.9742671009771987;0.9993317741396592;81;3070;9;2;0.0035830618892508143;0.9964297306069458;0.9982064242621881;0.9970684039087948;0.999347045380346;11
redis.c;3976;6;2;0.002012072434607646;0.9979919678714859;0.9989934574735783;0.9984909456740443;0.999496475327291;8;3976;6;2;0.002012072434607646;0.9979919678714859;0.9989934574735783;0.9984909456740443;0.999496475327291;8
redis.c;4357;30;8;0.008721597429423916;0.991353811149033;0.9956281638288081;0.9931145283451916;0.9981545559400231;38;4357;30;8;0.008721597429423916;0.991353811149033;0.9956281638288081;0.9931145283451916;0.9981545559400231;38
Makefile;63;14;12;0.4126984126984127;0.7078651685393258;0.7903225806451613;0.7777777777777778;0.8032786885245902;26;63;2;2;0.06349206349206349;0.9402985074626866;0.9682539682539683;0.9682539682539683;0.9682539682539683;4
redis-cli.c;428;1;1;0.004672897196261682;0.9953488372093023;0.9976635514018691;0.9976635514018691;0.9976635514018691;2;428;42;7;0.11448598130841121;0.8972746331236897;0.9403166869671132;0.9018691588785047;0.9821882951653944;49
redis.c;8671;114;44;0.018221658401568447;0.982104428587609;0.9908522464103752;0.9868527274824126;0.9948843157772352;158;8671;96;56;0.01752969669011648;0.9827722996713136;0.9912148884522021;0.9889286126167686;0.9935117599351176;152
redis.c;8671;3;3;6.919617114519663E-4;0.9993085167684683;0.999654019144274;0.999654019144274;0.999654019144274;6;8671;3;3;6.919617114519663E-4;0.9993085167684683;0.999654019144274;0.999654019144274;0.999654019144274;6
redis.c;8902;137;22;0.017861154796674904;0.9824522679615937;0.991011362993951;0.9846101999550663;0.9974963013542734;159;8902;125;192;0.03560997528645248;0.9656144918103916;0.9822617648704605;0.9859582116378341;0.9785929312074925;317
redis.c;8960;256;28;0.03169642857142857;0.9692773691042839;0.9839475469138592;0.9714285714285714;0.9967934035730646;284;8960;105;47;0.016964285714285713;0.9833187006145742;0.9914903146344195;0.98828125;0.9947202875758256;152
test-redis.tcl;1879;12;2;0.007450771687067589;0.9926043317485472;0.996264674493063;0.9936136242682277;0.9989299090422686;14;1879;12;2;0.007450771687067589;0.9926043317485472;0.996264674493063;0.9936136242682277;0.9989299090422686;14
redis.c;9130;229;68;0.03253012048192771;0.9684947491248541;0.9835902536051716;0.9749178532311062;0.9924183298026535;297;9130;170;0;0.018619934282584884;0.9817204301075269;0.9906025428413487;0.9813800657174151;1.0;170
test-redis.tcl;1902;23;0;0.012092534174553101;0.9880519480519481;0.9939169531869875;0.9879074658254469;1.0;23;1902;23;0;0.012092534174553101;0.9880519480519481;0.9939169531869875;0.9879074658254469;1.0;23
redis.c;9247;23;1;0.0025954363577376446;0.9974112824937978;0.9987007362494587;0.9975127068238347;0.9998915989159891;24;9247;52;22;0.008002595436357738;0.9920609376676323;0.9959922010398613;0.9943765545582351;0.9976131062167733;74
test-redis.tcl;2070;92;0;0.044444444444444446;0.9574468085106383;0.9772727272727273;0.9555555555555556;1.0;92;2070;16;0;0.007729468599033816;0.9923298178331735;0.9961202715809893;0.9922705314009662;1.0;16
redis-cli.c;550;1;6;0.012727272727272728;0.9874326750448833;0.9936651583710407;0.9981818181818182;0.9891891891891892;7;550;1;6;0.012727272727272728;0.9874326750448833;0.9936651583710407;0.9981818181818182;0.9891891891891892;7
redis.c;9266;75;23;0.010576300453270019;0.9895343870140966;0.9946969696969697;0.9919058925102525;0.9975037985673975;98;9266;120;101;0.02385063673645586;0.9767049646885211;0.9880624426078971;0.987049428016404;0.9890775386611874;221
redis.c;9320;41;5;0.004935622317596567;0.995088618407004;0.997527413459471;0.9956008583690987;0.9994614390348987;46;9320;10;0;0.001072961373390558;0.9989281886387996;0.9994632313472893;0.9989270386266095;1.0;10
redis.c;9323;51;5;0.006006650219886302;0.9940292142019405;0.9969892473118279;0.9945296578354607;0.9994610326614207;56;9323;4;1;5.363080553469913E-4;0.9994639794168096;0.9997318028214344;0.9995709535557225;0.9998927038626609;5
redis.c;9329;51;8;0.006324364883696002;0.9937153813378782;0.9968305130271288;0.9945331761174832;0.9991384880465216;59;9329;12;6;0.0019294672526530175;0.9980742484219536;0.9990349560368861;0.9987136884982313;0.9993564303335836;18
redis.c;9551;24;23;0.004920950685792064;0.9951031464888519;0.9975393958431494;0.9974871741178934;0.9975916230366492;47;9551;24;23;0.004920950685792064;0.9951031464888519;0.9975393958431494;0.9974871741178934;0.9975916230366492;47
redis.c;9873;333;7;0.03443735440089132;0.9667090962498776;0.9824922760041195;0.9662716499544212;0.9992667853776055;340;9873;333;7;0.03443735440089132;0.9667090962498776;0.9824922760041195;0.9662716499544212;0.9992667853776055;340
redis.c;9890;4;3;7.077856420626896E-4;0.9992927149641305;0.999646089286617;0.9995955510616784;0.9996966326221054;7;9890;17;5;0.002224469160768453;0.9977804681194512;0.9988870902468637;0.9982810920121334;0.9994938246608626;22
redis.c;10056;149;68;0.021579156722354813;0.9788766669911418;0.9891667914732165;0.9851829753381066;0.9931829573934837;217;10056;54;3;0.0056682577565632455;0.9943636902996144;0.9971586660684912;0.9946300715990454;0.9997001499250375;57
test-redis.tcl;2208;17;9;0.01177536231884058;0.9883616830796778;0.9941016333938294;0.9923007246376812;0.9959090909090909;26;2208;40;0;0.018115942028985508;0.9822064056939501;0.9908592321755028;0.9818840579710145;1.0;40
redis.c;10067;1;1;1.9866891824774015E-4;0.9998013705432516;0.9999006655408761;0.9999006655408761;0.9999006655408761;2;10067;1;1;1.9866891824774015E-4;0.9998013705432516;0.9999006655408761;0.9999006655408761;0.9999006655408761;2
redis.c;10113;9;9;0.0017798872738059924;0.9982232750962393;0.999110056363097;0.999110056363097;0.999110056363097;18;10113;31;2;0.003263126668644319;0.9967474866942637;0.9983660939743526;0.9969346385840008;0.9998016660055533;33
redis.c;10321;57;29;0.008332525918031198;0.9917363313154608;0.9958280780052391;0.9944772793333979;0.9971825512484213;86;10321;57;29;0.008332525918031198;0.9917363313154608;0.9958280780052391;0.9944772793333979;0.9971825512484213;86
redis.c;10495;2;2;3.8113387327298715E-4;0.9996190113344128;0.9998094330633636;0.9998094330633636;0.9998094330633636;4;10495;76;24;0.009528346831824679;0.9905615856536102;0.995223994650874;0.9927584564078132;0.997701809824763;100
redis.c;10599;292;71;0.03424851401075573;0.9668856048166393;0.9826953329837441;0.9724502311538824;0.9931586047407979;363;10599;281;61;0.03226719501839796;0.9687414313134083;0.9836972065973878;0.9734880649117841;0.9941227478562482;342
redis.conf;312;12;11;0.07371794871794872;0.9313432835820895;0.9630818619582665;0.9615384615384616;0.9646302250803859;23;312;3;2;0.016025641025641024;0.9842271293375394;0.9919743178170144;0.9903846153846154;0.9935691318327974;5
redis.c;10862;1;1;1.8412815319462345E-4;0.9998159057437408;0.9999079359234027;0.9999079359234027;0.9999079359234027;2;10862;1;1;1.8412815319462345E-4;0.9998159057437408;0.9999079359234027;0.9999079359234027;0.9999079359234027;2
