file;totalLines_svn;addedLines_svn;removedLines_svn;percentageOfChange_svn;accuracy_svn;measure_svn;recall_svn;precision_svn;effort_svn;totalLines_git;addedLines_git;removedLines_git;percentageOfChange_git;accuracy_git;measure_git;recall_git;precision_git;effort_git
tests/stb.dsp;116;4;0;0.034482758620689655;0.9666666666666667;0.9824561403508771;0.9655172413793104;1.0;4;116;4;4;0.06896551724137931;0.9354838709677419;0.9655172413793104;0.9655172413793104;0.9655172413793104;8
tests/stb.dsp;112;3;7;0.08928571428571429;0.9180327868852459;0.9561403508771931;0.9732142857142857;0.9396551724137931;10;112;0;4;0.03571428571428571;0.9655172413793104;0.9824561403508771;1.0;0.9655172413793104;4
tests/stb_cpp.dsp;97;1;5;0.061855670103092786;0.941747572815534;0.9696969696969696;0.9896907216494846;0.9504950495049505;6;97;0;4;0.041237113402061855;0.9603960396039604;0.9797979797979798;1.0;0.9603960396039604;4
tests/image_test.dsp;92;1;5;0.06521739130434782;0.9387755102040817;0.9680851063829786;0.9891304347826086;0.9479166666666666;6;92;0;4;0.043478260869565216;0.9583333333333334;0.9787234042553191;1.0;0.9583333333333334;4
stb_image_write.h;517;89;85;0.3365570599613153;0.748191027496382;0.8310679611650486;0.8278529980657641;0.834307992202729;174;517;87;85;0.33268858800773693;0.7503628447024674;0.8333333333333334;0.8317214700193424;0.8349514563106796;172
stb_textedit.h;1251;2;2;0.0031974420463629096;0.9968127490039841;0.9984012789768185;0.9984012789768185;0.9984012789768185;4;1251;2;2;0.0031974420463629096;0.9968127490039841;0.9984012789768185;0.9984012789768185;0.9984012789768185;4
stb_image.h;4636;7;7;0.0030198446937014668;0.9969892473118279;0.9984900776531492;0.9984900776531492;0.9984900776531492;14;4636;7;1;0.001725625539257981;0.9982773471145564;0.9991366285344269;0.9984900776531492;0.9997840172786178;8
stb_image.h;4643;19;12;0.006676717639457247;0.9933675652545999;0.9966591227502964;0.9959078182209778;0.997411561691113;31;4643;15;8;0.004953693732500539;0.9950707243891984;0.9975212846211876;0.9967693301744561;0.998274374460742;23
README.md;80;3;3;0.075;0.9302325581395349;0.9625000000000001;0.9625;0.9625;6;80;3;3;0.075;0.9302325581395349;0.9625000000000001;0.9625;0.9625;6
README.md;81;2;1;0.037037037037037035;0.9642857142857143;0.9813664596273292;0.9753086419753086;0.9875;3;81;2;2;0.04938271604938271;0.9529411764705882;0.9753086419753086;0.9753086419753086;0.9753086419753086;4
stb_image.h;4657;3;3;0.0012883830792355595;0.9987132747158481;0.9993558084603822;0.9993558084603822;0.9993558084603822;6;4657;3;1;8.589220528237063E-4;0.9991418150611456;0.9995704467353952;0.9993558084603822;0.9997851772287862;4
stb_vorbis.c;5441;40;54;0.01727623598603198;0.9830171635049684;0.9913729809104259;0.9926484102187098;0.9901008249312557;94;5441;4;4;0.0014703179562580407;0.9985318407047165;0.999264841021871;0.999264841021871;0.999264841021871;8
stb_truetype.h;2086;4;2;0.0028763183125599234;0.997131931166348;0.9985611510791367;0.9980824544582934;0.9990403071017274;6;2086;6;1;0.003355704697986577;0.9966555183946488;0.9983201343892489;0.99712368168744;0.9995194617972128;7
stb_image.h;4684;15;11;0.005550811272416738;0.99447983014862;0.9972234087996582;0.996797608881298;0.9976495726495727;26;4684;15;11;0.005550811272416738;0.99447983014862;0.9972234087996582;0.996797608881298;0.9976495726495727;26
stb_image_resize.h;1833;314;178;0.2684124386252046;0.7883870967741935;0.8606232294617564;0.828696126568467;0.8951090159104301;492;1833;320;184;0.27495908346972175;0.7843388960205392;0.8572237960339943;0.8254228041462084;0.8915733647613435;504
tests/stb.dsp;160;48;0;0.3;0.7692307692307693;0.8235294117647058;0.7;1.0;48;160;9;1;0.0625;0.9411764705882353;0.967948717948718;0.94375;0.993421052631579;10
stb_image_resize.h;1922;45;23;0.03537981269510926;0.9658291457286432;0.9822082679225537;0.9765868886576483;0.9878947368421053;68;1922;45;23;0.03537981269510926;0.9658291457286432;0.9822082679225537;0.9765868886576483;0.9878947368421053;68
tests/resample_test.cpp;722;135;62;0.27285318559556787;0.7856365614798694;0.8563092633114515;0.8130193905817175;0.9044684129429892;197;722;71;18;0.12326869806094183;0.8902589395807645;0.9360172537742631;0.9016620498614959;0.9730941704035875;89
