file;totalLines_svn;addedLines_svn;removedLines_svn;percentageOfChange_svn;accuracy_svn;measure_svn;recall_svn;precision_svn;effort_svn;totalLines_git;addedLines_git;removedLines_git;percentageOfChange_git;accuracy_git;measure_git;recall_git;precision_git;effort_git
README.md;135;20;0;0.14814814814814814;0.8709677419354839;0.92;0.8518518518518519;1.0;20;135;20;0;0.14814814814814814;0.8709677419354839;0.92;0.8518518518518519;1.0;20
thefuck/main.py;95;15;7;0.23157894736842105;0.811965811965812;0.879120879120879;0.8421052631578947;0.9195402298850575;22;95;1;0;0.010526315789473684;0.9895833333333334;0.9947089947089947;0.9894736842105263;1.0;1
thefuck/main.py;95;1;0;0.010526315789473684;0.9895833333333334;0.9947089947089947;0.9894736842105263;1.0;1;95;1;0;0.010526315789473684;0.9895833333333334;0.9947089947089947;0.9894736842105263;1.0;1
README.md;143;7;1;0.055944055944055944;0.9470198675496688;0.9714285714285715;0.951048951048951;0.9927007299270073;8;143;2;0;0.013986013986013986;0.9862068965517241;0.9929577464788732;0.986013986013986;1.0;2
README.md;144;1;0;0.006944444444444444;0.993103448275862;0.9965156794425087;0.9930555555555556;1.0;1;144;1;1;0.013888888888888888;0.9863013698630136;0.9930555555555556;0.9930555555555556;0.9930555555555556;2
README.md;157;11;0;0.07006369426751592;0.9345238095238095;0.9636963696369637;0.9299363057324841;1.0;11;157;2;0;0.012738853503184714;0.9874213836477987;0.9935897435897436;0.9872611464968153;1.0;2
thefuck/rules/no_command.py;46;21;5;0.5652173913043478;0.6388888888888888;0.6578947368421053;0.5434782608695652;0.8333333333333334;26;46;1;1;0.043478260869565216;0.9583333333333334;0.9782608695652174;0.9782608695652174;0.9782608695652174;2
README.md;167;2;1;0.017964071856287425;0.9823529411764705;0.990990990990991;0.9880239520958084;0.9939759036144579;3;167;8;0;0.04790419161676647;0.9542857142857143;0.9754601226993864;0.9520958083832335;1.0;8
README.md;180;10;1;0.06111111111111111;0.9424083769633508;0.9686609686609685;0.9444444444444444;0.9941520467836257;11;180;13;0;0.07222222222222222;0.9326424870466321;0.962536023054755;0.9277777777777778;1.0;13
README.md;192;12;0;0.0625;0.9411764705882353;0.967741935483871;0.9375;1.0;12;192;15;3;0.09375;0.9142857142857143;0.9516129032258064;0.921875;0.9833333333333333;18
README.md;192;13;1;0.07291666666666667;0.9320388349514563;0.9623655913978495;0.9322916666666666;0.9944444444444445;14;192;1;1;0.010416666666666666;0.9896907216494846;0.9947916666666666;0.9947916666666666;0.9947916666666666;2
README.md;193;2;2;0.02072538860103627;0.9796954314720813;0.9896373056994818;0.9896373056994818;0.9896373056994818;4;193;1;0;0.0051813471502590676;0.9948453608247423;0.9974025974025974;0.9948186528497409;1.0;1
thefuck/rules/sudo.py;19;1;0;0.05263157894736842;0.95;0.972972972972973;0.9473684210526315;1.0;1;19;2;1;0.15789473684210525;0.8636363636363636;0.918918918918919;0.8947368421052632;0.9444444444444444;3
tests/rules/test_rm_dir.py;14;1;0;0.07142857142857142;0.9333333333333333;0.962962962962963;0.9285714285714286;1.0;1;14;1;0;0.07142857142857142;0.9333333333333333;0.962962962962963;0.9285714285714286;1.0;1
README.md;233;2;2;0.017167381974248927;0.9831223628691983;0.9914163090128756;0.9914163090128756;0.9914163090128756;4;233;2;2;0.017167381974248927;0.9831223628691983;0.9914163090128756;0.9914163090128756;0.9914163090128756;4
README.md;234;1;0;0.004273504273504274;0.9957446808510638;0.9978586723768736;0.9957264957264957;1.0;1;234;3;2;0.021367521367521368;0.9790794979079498;0.9892933618843683;0.9871794871794872;0.9914163090128756;5
README.md;235;1;0;0.00425531914893617;0.9957627118644068;0.9978678038379531;0.9957446808510638;1.0;1;235;7;6;0.05531914893617021;0.9475806451612904;0.9722814498933902;0.9702127659574468;0.9743589743589743;13
README.md;236;1;0;0.00423728813559322;0.9957805907172996;0.9978768577494692;0.9957627118644068;1.0;1;236;1;0;0.00423728813559322;0.9957805907172996;0.9978768577494692;0.9957627118644068;1.0;1
README.md;236;9;6;0.0635593220338983;0.9402390438247012;0.9680170575692963;0.961864406779661;0.9742489270386266;15;236;2;2;0.01694915254237288;0.9833333333333333;0.9915254237288136;0.9915254237288136;0.9915254237288136;4
README.md;233;2;7;0.03862660944206009;0.9628099173553719;0.980891719745223;0.9914163090128756;0.9705882352941176;9;233;1;0;0.004291845493562232;0.9957264957264957;0.9978494623655914;0.9957081545064378;1.0;1
README.md;229;18;0;0.07860262008733625;0.9271255060728745;0.9590909090909091;0.9213973799126638;1.0;18;229;1;1;0.008733624454148471;0.9913419913419913;0.9956331877729258;0.9956331877729258;0.9956331877729258;2
thefuck/rules/sudo.py;26;2;0;0.07692307692307693;0.9285714285714286;0.9600000000000001;0.9230769230769231;1.0;2;26;2;1;0.11538461538461539;0.896551724137931;0.9411764705882353;0.9230769230769231;0.96;3
README.md;266;1;0;0.0037593984962406013;0.9962546816479401;0.9981167608286252;0.9962406015037594;1.0;1;266;3;2;0.018796992481203006;0.981549815498155;0.9905838041431262;0.9887218045112782;0.9924528301886792;5
README.md;267;1;0;0.003745318352059925;0.996268656716418;0.99812382739212;0.9962546816479401;1.0;1;267;4;2;0.02247191011235955;0.978021978021978;0.9887218045112781;0.9850187265917603;0.9924528301886792;6
README.md;268;4;2;0.022388059701492536;0.9781021897810219;0.9887640449438201;0.9850746268656716;0.9924812030075187;6;268;4;2;0.022388059701492536;0.9781021897810219;0.9887640449438201;0.9850746268656716;0.9924812030075187;6
README.md;268;1;0;0.0037313432835820895;0.9962825278810409;0.9981308411214954;0.996268656716418;1.0;1;268;6;6;0.04477611940298507;0.9571428571428572;0.9776119402985075;0.9776119402985075;0.9776119402985075;12
thefuck/shells.py;159;13;0;0.08176100628930817;0.9244186046511628;0.9573770491803278;0.9182389937106918;1.0;13;159;1;27;0.1761006289308176;0.8502673796791443;0.9186046511627908;0.9937106918238994;0.8540540540540541;28
