file;totalLines_svn;addedLines_svn;removedLines_svn;percentageOfChange_svn;accuracy_svn;measure_svn;recall_svn;precision_svn;effort_svn;totalLines_git;addedLines_git;removedLines_git;percentageOfChange_git;accuracy_git;measure_git;recall_git;precision_git;effort_git
lib/zstd.c;1721;6;3;0.005229517722254503;0.9947976878612717;0.997382960162838;0.9965136548518303;0.9982537834691502;9;1721;6;3;0.005229517722254503;0.9947976878612717;0.997382960162838;0.9965136548518303;0.9982537834691502;9
lib/zstd.c;1799;0;2;0.0011117287381878821;0.9988895058300944;0.9994444444444445;1.0;0.9988895058300944;2;1799;0;2;0.0011117287381878821;0.9988895058300944;0.9994444444444445;1.0;0.9988895058300944;2
lib/zstd_static.h;87;9;2;0.12643678160919541;0.8877551020408163;0.934131736526946;0.896551724137931;0.975;11;87;9;2;0.12643678160919541;0.8877551020408163;0.934131736526946;0.896551724137931;0.975;11
programs/fileio.c;390;14;11;0.0641025641025641;0.9397590361445783;0.9678249678249679;0.9641025641025641;0.9715762273901809;25;390;7;7;0.035897435897435895;0.9653465346534653;0.982051282051282;0.982051282051282;0.982051282051282;14
programs/fullbench.c;659;33;71;0.15781487101669195;0.8636959370904325;0.9233038348082595;0.9499241274658573;0.8981348637015782;104;659;5;5;0.015174506828528073;0.9850523168908819;0.992412746585736;0.992412746585736;0.992412746585736;10
programs/Makefile;159;8;7;0.09433962264150944;0.9137931034482759;0.9526813880126183;0.949685534591195;0.9556962025316456;15;159;8;7;0.09433962264150944;0.9137931034482759;0.9526813880126183;0.949685534591195;0.9556962025316456;15
programs/zstdcli.c;342;6;2;0.023391812865497075;0.9771428571428571;0.988235294117647;0.9824561403508771;0.9940828402366864;8;342;6;2;0.023391812865497075;0.9771428571428571;0.988235294117647;0.9824561403508771;0.9940828402366864;8
lib/zstd.h;93;3;3;0.06451612903225806;0.9393939393939394;0.967741935483871;0.967741935483871;0.967741935483871;6;93;3;3;0.06451612903225806;0.9393939393939394;0.967741935483871;0.967741935483871;0.967741935483871;6
lib/fse.c;1612;154;155;0.19168734491315137;0.8391462779802187;0.9041860465116279;0.9044665012406948;0.9039057656540608;309;1612;154;155;0.19168734491315137;0.8391462779802187;0.9041860465116279;0.9044665012406948;0.9039057656540608;309
lib/zstd.c;1811;88;85;0.09552733296521258;0.9128024193548387;0.9521967394307819;0.951408061844285;0.9529867256637168;173;1811;88;85;0.09552733296521258;0.9128024193548387;0.9521967394307819;0.951408061844285;0.9529867256637168;173
lib/zstd_static.h;88;12;11;0.26136363636363635;0.7927927927927928;0.8685714285714287;0.8636363636363636;0.8735632183908046;23;88;12;11;0.26136363636363635;0.7927927927927928;0.8685714285714287;0.8636363636363636;0.8735632183908046;23
programs/fullbench.c;659;5;5;0.015174506828528073;0.9850523168908819;0.992412746585736;0.992412746585736;0.992412746585736;10;659;6;6;0.018209408194233688;0.9821162444113264;0.9908952959028832;0.9908952959028832;0.9908952959028832;12
lib/fse.h;320;73;47;0.375;0.7272727272727273;0.8045602605863191;0.771875;0.8401360544217688;120;320;73;47;0.375;0.7272727272727273;0.8045602605863191;0.771875;0.8401360544217688;120
lib/zstd.h;93;4;4;0.08602150537634409;0.9207920792079208;0.956989247311828;0.956989247311828;0.956989247311828;8;93;4;4;0.08602150537634409;0.9207920792079208;0.956989247311828;0.956989247311828;0.956989247311828;8
lib/fse.c;2457;1351;506;0.7557997557997558;0.5695410292072323;0.5436225116736298;0.45014245014245013;0.6861042183622829;1857;2457;1931;1086;1.227920227920228;0.44884910485933505;0.2585401818628656;0.2140822140822141;0.326302729528536;3017
lib/zstd.c;1754;398;455;0.4863169897377423;0.6728039892596854;0.7607293127629733;0.7730900798175598;0.7487575924903368;853;1754;403;460;0.492018244013683;0.6702330913259458;0.7579242636746143;0.7702394526795895;0.7459966869133076;863
lib/zstd_static.h;88;3;3;0.06818181818181818;0.9361702127659575;0.9659090909090909;0.9659090909090909;0.9659090909090909;6;88;3;3;0.06818181818181818;0.9361702127659575;0.9659090909090909;0.9659090909090909;0.9659090909090909;6
lib/fse_static.h;282;53;30;0.29432624113475175;0.7726027397260274;0.8465804066543439;0.8120567375886525;0.8841698841698842;83;282;53;30;0.29432624113475175;0.7726027397260274;0.8465804066543439;0.8120567375886525;0.8841698841698842;83
Makefile;109;2;1;0.027522935779816515;0.9732142857142857;0.9861751152073732;0.981651376146789;0.9907407407407407;3;109;2;1;0.027522935779816515;0.9732142857142857;0.9861751152073732;0.981651376146789;0.9907407407407407;3
programs/datagen.h;40;6;6;0.3;0.7692307692307693;0.85;0.85;0.85;12;40;6;6;0.3;0.7692307692307693;0.85;0.85;0.85;12
programs/fuzzer.c;600;143;64;0.345;0.7434944237918215;0.815343443354148;0.7616666666666667;0.8771593090211133;207;600;143;64;0.345;0.7434944237918215;0.815343443354148;0.7616666666666667;0.8771593090211133;207
programs/xxhash.c;960;68;21;0.09270833333333334;0.9151572926596759;0.9524826481580353;0.9291666666666667;0.976998904709748;89;960;68;21;0.09270833333333334;0.9151572926596759;0.9524826481580353;0.9291666666666667;0.976998904709748;89
programs/bench.c;496;10;7;0.034274193548387094;0.9668615984405458;0.9828109201213345;0.9798387096774194;0.9858012170385395;17;496;10;7;0.034274193548387094;0.9668615984405458;0.9828109201213345;0.9798387096774194;0.9858012170385395;17
programs/Makefile;160;4;4;0.05;0.9523809523809523;0.975;0.975;0.975;8;160;24;17;0.25625;0.7960199004975125;0.8690095846645367;0.85;0.8888888888888888;41
programs/datagen.c;232;2;2;0.017241379310344827;0.9830508474576272;0.9913793103448276;0.9913793103448276;0.9913793103448276;4;232;63;40;0.44396551724137934;0.6925373134328359;0.7664399092970523;0.728448275862069;0.8086124401913876;103
lib/zstd.c;1761;9;2;0.006246450880181715;0.9937923250564334;0.9968705547652917;0.9948892674616695;0.9988597491448119;11;1761;1;1;0.001135718341851221;0.9988655700510494;0.9994321408290744;0.9994321408290744;0.9994321408290744;2
lib/zstd.c;1761;1;1;0.001135718341851221;0.9988655700510494;0.9994321408290744;0.9994321408290744;0.9994321408290744;2;1761;2;7;0.005110732538330494;0.9949152542372881;0.9974482563084774;0.9988642816581488;0.9960362400906002;9
Makefile;89;15;35;0.5617977528089888;0.6402877697841727;0.7474747474747474;0.8314606741573034;0.6788990825688074;50;89;1;1;0.02247191011235955;0.978021978021978;0.9887640449438202;0.9887640449438202;0.9887640449438202;2
programs/Makefile;160;15;15;0.1875;0.8421052631578947;0.90625;0.90625;0.90625;30;160;4;4;0.05;0.9523809523809523;0.975;0.975;0.975;8
programs/fileio.c;394;6;5;0.027918781725888325;0.9728395061728395;0.9860228716645489;0.9847715736040609;0.9872773536895675;11;394;6;5;0.027918781725888325;0.9728395061728395;0.9860228716645489;0.9847715736040609;0.9872773536895675;11
lib/Makefile;115;2;3;0.043478260869565216;0.9583333333333334;0.9783549783549784;0.9826086956521739;0.9741379310344828;5;115;2;3;0.043478260869565216;0.9583333333333334;0.9783549783549784;0.9826086956521739;0.9741379310344828;5
lib/zstd.c;1771;23;18;0.023150762281197064;0.9773730684326711;0.9884082555838282;0.987012987012987;0.9898074745186863;41;1771;23;18;0.023150762281197064;0.9773730684326711;0.9884082555838282;0.987012987012987;0.9898074745186863;41
lib/zstd_static.h;93;8;4;0.12903225806451613;0.8857142857142857;0.934065934065934;0.9139784946236559;0.9550561797752809;12;93;8;4;0.12903225806451613;0.8857142857142857;0.934065934065934;0.9139784946236559;0.9550561797752809;12
README.md;50;2;2;0.08;0.9259259259259259;0.96;0.96;0.96;4;50;7;5;0.24;0.8064516129032258;0.8775510204081632;0.86;0.8958333333333334;12
programs/Makefile;173;10;10;0.11560693641618497;0.8963730569948186;0.9421965317919075;0.9421965317919075;0.9421965317919075;20;173;20;7;0.15606936416184972;0.865;0.9189189189189189;0.884393063583815;0.95625;27
programs/fullbench.c;637;10;33;0.06750392464678179;0.9367647058823529;0.966846569005397;0.9843014128728415;0.95;43;637;10;33;0.06750392464678179;0.9367647058823529;0.966846569005397;0.9843014128728415;0.95;43
lib/huff0.c;1707;1;0;5.858230814294083E-4;0.9994145199063232;0.9997070026369762;0.9994141769185706;1.0;1;1707;1;0;5.858230814294083E-4;0.9994145199063232;0.9997070026369762;0.9994141769185706;1.0;1
lib/huff0.c;1718;22;11;0.01920838183934808;0.9811536264991434;0.9903649635036496;0.9871944121071012;0.9935559461042766;33;1718;22;11;0.01920838183934808;0.9811536264991434;0.9903649635036496;0.9871944121071012;0.9935559461042766;33
visual/2012/fuzzer/fuzzer.vcxproj.filters;90;21;0;0.23333333333333334;0.8108108108108109;0.8679245283018869;0.7666666666666667;1.0;21;90;89;89;1.9777777777777779;0.3358208955223881;0.011111111111111112;0.011111111111111112;0.011111111111111112;178
visual/2012/fuzzer/fuzzer.vcxproj;191;29;1;0.15706806282722513;0.8642533936651584;0.9152542372881356;0.8481675392670157;0.9938650306748467;30;191;190;190;1.9895287958115184;0.3345008756567426;0.005235602094240838;0.005235602094240838;0.005235602094240838;380
NEWS;26;3;0;0.11538461538461539;0.896551724137931;0.9387755102040816;0.8846153846153846;1.0;3;26;3;0;0.11538461538461539;0.896551724137931;0.9387755102040816;0.8846153846153846;1.0;3
lib/zstd.h;110;6;3;0.08181818181818182;0.9243697478991597;0.9585253456221198;0.9454545454545454;0.9719626168224299;9;110;1;1;0.01818181818181818;0.9821428571428571;0.990909090909091;0.990909090909091;0.990909090909091;2
Makefile;95;8;2;0.10526315789473684;0.9047619047619048;0.9456521739130435;0.9157894736842105;0.9775280898876404;10;95;8;2;0.10526315789473684;0.9047619047619048;0.9456521739130435;0.9157894736842105;0.9775280898876404;10
